Benchmark, NVars, Approx count, Approx time, Approx max, Approx min,  (max-min)/max
baital_4step,165,29596.0,6.395980954170227,29952,29323,0.021000267094017096
baital_5step,177,23859.6,8.809599757194519,24222,23550,0.027743373792420114
baital_90-10-5-q,460,387725.8,1.387152338027954,388987,386149,0.007295873641021422
baital_XSEngine,1260,2909934.8,2.4837050914764403,2918607,2902302,0.0055865692092152185
baital_aaed2000,1284,3014801.0,2.434984230995178,3025128,3004846,0.006704509693474127
baital_adder,1272,2968953.7,2.3649757385253904,2984165,2945087,0.01309512041056711
baital_adderII,1276,2976564.2,2.3570076704025267,2990658,2966770,0.007987539865808795
baital_aeb,1213,2664181.0,2.570585346221924,2679109,2650880,0.010536712018809239
baital_aim711,1264,2917899.0,2.497224473953247,2931224,2910849,0.006951021143385834
baital_aki3068net,1207,2654271.1,2.509236693382263,2666964,2646248,0.007767633908819167
baital_am31_sim,1165,2461554.2,2.4928757905960084,2469657,2452655,0.006884356815541591
baital_asb,1231,2767265.3,2.5336371660232544,2776859,2754456,0.008067748488490054
baital_asb2305,1242,2793947.1,2.6874787330627443,2810190,2778331,0.011336955864194236
baital_assabet,1266,2865750.4,2.7135600090026855,2876296,2857846,0.006414499759412801
baital_at91sam7sek,1296,3012312.5,2.711665225028992,3024710,2993811,0.010215524794112493
baital_at91sam7xek,1319,3158962.7,2.583215665817261,3169193,3145434,0.007496861188321443
baital_atlas_mips32_4kc,1216,2700509.9,2.42459499835968,2710072,2694052,0.0059112820618787984
baital_atlas_mips64_5kc,1209,2647770.0,2.5569433212280273,2653709,2641666,0.0045381765672121545
baital_blasted_case1,187,60472.9,2.114008069038391,60657,60272,0.006347165207642976
baital_blasted_case10,328,198070.7,1.6535271167755128,199550,197406,0.010744174392382861
baital_blasted_case100,72,9342.0,0.9669224739074707,9342,9342,0.0
baital_blasted_case102,34,1811.0,0.3686710596084595,1811,1811,0.0
baital_blasted_case103,32,1690.0,0.2590330123901367,1690,1690,0.0
baital_blasted_case105,170,55195.5,0.974461579322815,55331,55117,0.003867632972474743
baital_blasted_case106,204,79222.2,1.045660424232483,79428,79096,0.004179886186231555
baital_blasted_case108,205,75660.3,1.6227260828018188,75841,75439,0.005300563020002373
baital_blasted_case109,241,105093.5,1.6704696655273437,105606,104730,0.00829498323958866
baital_blasted_case11,105,19362.3,1.9557005643844605,19413,19280,0.006851079173749549
baital_blasted_case110,287,134936.3,2.917891526222229,135590,134440,0.008481451434471569
baital_blasted_case111,306,152793.4,2.9368820667266844,153137,152357,0.005093478388632401
baital_blasted_case112,137,32563.6,3.5070424318313598,32648,32486,0.004962019112962509
baital_blasted_case114,428,322260.0,2.2103091716766357,323112,321544,0.0048528064572036945
baital_blasted_case116,438,330512.4,2.9283570528030394,331704,329088,0.007886549453729831
baital_blasted_case118,309,156482.0,2.8019457817077638,157138,155181,0.012454021306113098
