Benchmark, NVars, Approx (worst), Approx Time, Exact Count, Exact Time, Mar Error
baital_4step,165,29323,6.395980954170227,29672,0.6581511497497559,0.011761930439471555
baital_5step,177,23550,8.809599757194519,23958,0.7765867710113525,0.017029802153769095
baital_90-10-5-q,460,388987,1.387152338027954,387429,5.568521499633789,0.004021381982247069
baital_XSEngine,1260,2918607,2.4837050914764403,2908371,44.1544930934906,0.0035194959652671545
baital_aaed2000,1284,3025128,2.434984230995178,3014713,45.815783977508545,0.003454723550799031
baital_adder,1272,2945087,2.3649757385253904,2965507,45.44894075393677,0.006885837733648917
baital_adderII,1276,2990658,2.3570076704025267,2972181,46.18669271469116,0.006216646967328033
baital_aeb,1213,2679109,2.570585346221924,2663082,42.153993129730225,0.0060182149854942505
baital_aim711,1264,2931224,2.497224473953247,2916463,45.03096652030945,0.0050612677068078695
baital_aki3068net,1207,2646248,2.509236693382263,2656718,41.89702320098877,0.003940952709320297
baital_am31_sim,1165,2452655,2.4928757905960084,2466456,39.5230758190155,0.005595477884057125
baital_asb,1231,2776859,2.5336371660232544,2765325,43.488622426986694,0.004170938316472747
baital_asb2305,1242,2810190,2.6874787330627443,2790419,43.291608810424805,0.00708531586116637
baital_assabet,1266,2876296,2.7135600090026855,2865630,44.50716185569763,0.0037220436692804028
baital_at91sam7sek,1296,2993811,2.711665225028992,3010897,47.04142665863037,0.005674720855612132
baital_at91sam7xek,1319,3145434,2.583215665817261,3157644,48.40765023231506,0.0038668070244777435
baital_atlas_mips32_4kc,1216,2710072,2.42459499835968,2699222,41.687625885009766,0.0040196767809391005
baital_atlas_mips64_5kc,1209,2641666,2.5569433212280273,2650250,40.78226375579834,0.003238939722667673
baital_blasted_case1,187,60657,2.114008069038391,60391,0.901059627532959,0.004404629828948022
baital_blasted_case10,328,199550,1.6535271167755128,198009,2.8475310802459717,0.007782474533985829
baital_blasted_case100,72,9342,0.9669224739074707,9342,0.158308744430542,0.0
baital_blasted_case102,34,1811,0.3686710596084595,1811,0.05040121078491211,0.0
baital_blasted_case103,32,1690,0.2590330123901367,1690,0.061586618423461914,0.0
baital_blasted_case105,170,55331,0.974461579322815,55209,0.7405252456665039,0.002209784636562879
baital_blasted_case106,204,79428,1.045660424232483,79246,1.0857303142547607,0.0022966458874895896
baital_blasted_case108,205,75439,1.6227260828018188,75688,1.0331134796142578,0.003289821371947997
baital_blasted_case109,241,105606,1.6704696655273437,105045,1.4286599159240723,0.005340568327859489
baital_blasted_case11,105,19280,1.9557005643844605,19349,0.32535290718078613,0.003566075766189467
baital_blasted_case110,287,135590,2.917891526222229,134834,2.1026439666748047,0.005606894403488734
baital_blasted_case111,306,152357,2.9368820667266844,152822,2.3821163177490234,0.0030427556241902345
baital_blasted_case112,137,32648,3.5070424318313598,32530,0.5213425159454346,0.003627420842299416
baital_blasted_case114,428,323112,2.2103091716766357,322235,4.380920886993408,0.0027216162117709125
baital_blasted_case116,438,331704,2.9283570528030394,330131,4.5372138023376465,0.004764775195301259
