Benchmark, NVars, Approx count, Approx time, Approx max, Approx min,  (max-min)/max
4step,165,123459993.6,404.1940034389496,123830272,123109376,0.005821645938078857
5step,177,89368166.4,480.0377147912979,90177536,88997888,0.01308139534883721
90-10-5-q,460,24630630809.6,262.89068512916566,24729616384,24587010048,0.005766621438263229
XSEngine,1260,1345398505472.0,393.74141330718993,1349156601856,1340566667264,0.006366892160764027
aaed2000,1284,1431029415936.0,410.55704061985017,1435592818688,1427539755008,0.005609573672400898
adder,1272,1401179393228.8,401.1236349582672,1403380563968,1396938113024,0.0045906656465187455
adderII,1276,1418949820416.0,433.32271003723145,1422707916800,1415191724032,0.005283018867924529
aeb,1213,1121281743257.6,406.6978236913681,1125281431552,1118033674240,0.006440839694656489
aim711,1264,1354471623884.8,430.1741593122482,1360967761920,1348619730944,0.009072978303747535
aki3068net,1207,1121389117440.0,403.81839356422427,1124476125184,1116691496960,0.006922893291955121
am31_sim,1165,957187149004.8,435.4448602437973,959119884288,954288046080,0.005037783375314861
asb,1231,1197034228940.8,397.5380355119705,1200711794688,1192658731008,0.00670690811535882
asb2305,1242,1219690181427.2,416.57613067626954,1220576018432,1217623228416,0.002419177479656917
assabet,1266,1311414576742.4,436.3082947254181,1319091830784,1307280670720,0.008954008954008955
at91sam7sek,1296,1434680138137.6,452.8258314371109,1439887785984,1427539755008,0.008575689783743476
at91sam7xek,1319,1574803446169.6,456.45798499584197,1581621706752,1571958030336,0.006109979633401222
atlas_mips32_4kc,1216,1155211984896.0,389.6539643287659,1157493686272,1153467154432,0.003478664192949907
atlas_mips64_5kc,1209,1127804724838.4,397.8716539621353,1133066059776,1123133947904,0.008765695332859511
blasted_case1,187,502844620.8,224.82730422019958,505151488,501219328,0.007784120394395433
blasted_case10,328,6063285862.4,243.42319266796113,6092226560,6048186368,0.007228915662650603
blasted_case100,72,11655168.0,136.31545338630676,11698176,11599872,0.008403361344537815
blasted_case102,34,420108.8,72.490083360672,421248,419072,0.005165603160133698
blasted_case103,32,359334.4,65.2796575307846,360576,357888,0.007454739084132056
blasted_case105,170,444058828.8,198.57874715328217,445775872,442499072,0.0073507791825933545
blasted_case106,204,928382976.0,206.99271805286406,931921920,925106176,0.0073136427566807315
blasted_case108,205,826382745.6,235.52657437324524,832045056,824705024,0.008821676118462508
blasted_case109,241,1639291289.6,222.86322400569915,1643642880,1635254272,0.005103668261562998
blasted_case11,105,48558899.2,189.12671108245848,48807936,48316416,0.010070493454179255
blasted_case110,287,2015467929.6,336.8319049119949,2023227392,2008547328,0.007255765742420316
blasted_case111,306,2574988083.2,340.1799391269684,2584739840,2555379712,0.011359026369168357
blasted_case112,137,141931315.2,202.5287393093109,142344192,141262848,0.007596685082872928
blasted_case114,428,13591222681.6,320.1914489746094,13635682304,13551796224,0.006151953245155337
blasted_case116,438,15093622374.4,313.3899755477905,15128854528,15044968448,0.0055447740504574435
blasted_case118,309,2718328422.4,344.73694763183596,2730491904,2704277504,0.009600614439324117
blasted_case120,284,3385642188.8,244.0604071855545,3398434816,3373268992,0.007405121875964209
blasted_case121,291,2952160870.4,268.1368474721909,2963275776,2943352832,0.006723283793347488
blasted_case122,314,2760271462.4,316.6107127428055,2769289216,2751463424,0.006436955698599016
blasted_case123,267,1778489753.6,266.1908235549927,1783103488,1769472000,0.007644810349897089
blasted_case124,133,153334579.2,173.33024356365203,153747456,153026560,0.004688832054560955
blasted_case125,393,7709340467.2,333.7589859724045,7736393728,7671382016,0.008403361344537815
blasted_case126,302,2891972608.0,281.4255434751511,2903506944,2874146816,0.010111953773925604
blasted_case127,36,452019.2,93.69626412391662,453632,450944,0.005925507900677201
blasted_case131,432,15192188518.4,301.8004300832748,15254683648,15141437440,0.0074237008523508384
blasted_case134,60,5049753.6,112.63118050098419,5068800,5033984,0.006868686868686869
blasted_case135,236,1247700582.4,229.84120354652404,1249902592,1245708288,0.003355704697986577
blasted_case136,211,986185728.0,219.2223801612854,989855744,983826432,0.0060911016949152545
blasted_case14,247,2112041779.2,190.5407645702362,2116550656,2105540608,0.005201882586078771
blasted_case140,488,32419453337.6,260.2495891809464,32489078784,32380026880,0.003356571133488252
blasted_case145,219,1262904934.4,195.58165628910064,1266679808,1257766912,0.007036423841059603
blasted_case17,77,13519667.2,159.4370488166809,13561856,13471744,0.006644518272425249
blasted_case19,397,14329420185.6,260.9589372396469,14369685504,14298382336,0.0049620548744892
blasted_case2,296,3475714867.2,297.2248246431351,3487563776,3465543680,0.006313890559230307
blasted_case200,14,3333.0,0.26079819202423093,3333,3333,0.0
blasted_case203,214,979186483.2,225.97337141036988,982777856,976748544,0.006134969325153374
blasted_case22,126,70906675.2,168.84171123504638,71122944,70582272,0.007601935038009675
blasted_case24,65,7178444.8,129.40980291366577,7198720,7151616,0.006543385490753912
blasted_case25,68,7841996.8,152.1383041381836,7876608,7821312,0.0070202808112324495
blasted_case31,53,2812723.2,120.73739368915558,2826240,2795520,0.010869565217391304
blasted_case32,52,2679603.2,119.52680151462555,2690048,2671616,0.006851922344880091
blasted_case33,51,2551500.8,122.52703058719635,2565120,2542592,0.008782435129740519
blasted_case34,409,11846811648.0,288.71422896385195,11886657536,11790188544,0.008115737473535639
blasted_case35,400,12443241676.8,275.31425681114195,12482248704,12406751232,0.006048387096774193
blasted_case36,64,6175539.2,123.34513618946076,6189056,6162432,0.004301786896095301
blasted_case38,143,143245312.0,221.56637256145478,143687680,142704640,0.0068415051311288486
blasted_case39,245,2133642444.8,189.14612445831298,2136997888,2129133568,0.0036800785083415115
blasted_case4,103,48881664.0,173.54710202217103,48971776,48693248,0.005687520910003346
blasted_case43,116,71100006.4,170.0486233949661,71286784,71008256,0.003907147782119053
blasted_case44,173,368679321.6,216.49057083129884,369885184,367656960,0.006024096385542169
blasted_case46,176,397449625.6,212.96897461414338,399376384,395313152,0.01017394158188382
blasted_case47,118,83240550.4,167.5933268070221,83656704,82837504,0.009792401096748922
blasted_case51,132,110175846.4,208.67981929779052,110821376,109707264,0.010053222945002957
blasted_case54,203,748971622.4,230.9309638261795,753401856,745537536,0.010438413361169102
blasted_case55,149,209571020.8,223.94589989185334,209911808,209190912,0.0034342803621604744
blasted_case56,202,740609228.8,227.39079310894013,746586112,737148928,0.012640449438202247
blasted_case57,288,2271110758.4,277.8102939605713,2278031360,2265448448,0.005523590333716916
blasted_case59,93,33520025.6,150.88432996273042,33603584,33439744,0.0048756704046806435
blasted_case6,329,5932423577.6,261.32032189369204,5962203136,5905580032,0.009497010200492437
blasted_case60,15,9090.6,20.715524506568908,9096,9084,0.0013192612137203166
blasted_case61,282,2884842291.2,244.88916714191436,2899312640,2874146816,0.00867992766726944
blasted_case63,96,38679347.2,144.01726937294006,38879232,38567936,0.008006742520016857
blasted_case68,178,472671846.4,213.56211113929749,474087424,471597056,0.005252972076306331
blasted_case8,160,327548928.0,173.72027604579927,328335360,326762496,0.004790419161676647
blasted_case9,279,3044435558.4,239.02687611579896,3056599040,3031433216,0.00823327615780446
blasted_case_1_b12_1,427,12665959219.2,319.80191559791564,12725518336,12599689216,0.00988793671720501
blasted_case_1_b14_1,238,1437807411.2,214.3430852174759,1446510592,1431830528,0.010148604566872055
blasted_case_1_b14_2,270,2157654835.2,259.1149225950241,2163212288,2147483648,0.007270964614638876
blasted_case_1_b14_3,304,3411227443.2,282.03168563842775,3423600640,3400531968,0.006738131699846861
blasted_squaring51,496,34276691148.8,265.912740778923,34368126976,34225520640,0.004149377593360996
brutus,1221,1147749479219.2,401.65141327381133,1149977493504,1145682526208,0.003734827264239029
buildroot,565,62773631385.6,268.7140908718109,62864228352,62679678976,0.0029356818788364024
busybox_1_28_0,998,639708535193.6,314.1633630514145,641292304384,638607949824,0.004185851820845542
calm16_ceb,1173,983225388236.8,430.2694037437439,985158123520,980057849856,0.0051771117166212535
calm32_ceb,1173,984030694604.8,428.1563420057297,987842478080,980863156224,0.007065217391304348
ceb_v850,1189,1047945176678.4,417.728951716423,1050924810240,1044213923840,0.006385696040868455
cerf,1276,1388294491340.8,432.0435576438904,1394253758464,1381905727488,0.008856372737774355
cerfpda,1291,1455027545702.4,452.1155680894852,1460288880640,1450088333312,0.006985294117647059
cma230,1212,1117496803328.0,402.9617728471756,1121254899712,1115080884224,0.005506344266219775
