Benchmark, NVars, Approx (worst), Approx Time, Exact Count, Exact Time, Mar Error
4step,165,5295308800,769.1278566360473,-1,-1,-1
5step,177,3725590528,864.4490036010742,-1,-1,-1
90-10-5-q,460,4287451103232,323.91981303691864,-1,-1,-1
XSEngine,1260,615451633647616,571.3269281864166,-1,-1,-1
aaed2000,1284,665754290618368,602.4641506671906,-1,-1,-1
adder,1272,648436982480896,583.3981374979019,-1,-1,-1
adderII,1276,657233075503104,582.7829002618789,-1,-1,-1
aeb,1213,490107308081152,602.7084683418274,-1,-1,-1
aim711,1264,619162485391360,546.7853019714355,-1,-1,-1
aki3068net,1207,488732918546432,570.6875520944595,-1,-1,-1
am31_sim,1165,401871499952128,594.1274280786514,-1,-1,-1
asb,1231,529827165634560,574.1737822532654,-1,-1,-1
asb2305,1242,545495206330368,585.224560880661,-1,-1,-1
assabet,1266,595660424347648,559.8773040771484,-1,-1,-1
at91sam7sek,1296,668777947594752,628.2203316211701,-1,-1,-1
at91sam7xek,1319,753715220840448,647.1111559391022,-1,-1,-1
atlas_mips32_4kc,1216,508799005753344,583.7987833023071,-1,-1,-1
atlas_mips64_5kc,1209,492581209243648,592.4980322122574,-1,-1,-1
blasted_case1,187,29494345728,364.8134473800659,-1,-1,-1
blasted_case10,328,712964571136,355.5427000761032,-1,-1,-1
blasted_case100,72,267911168,187.99710309505463,-1,-1,-1
blasted_case102,34,3971072,117.86123752593994,3952351,322.27289628982544,0.004736674450219629
blasted_case103,32,3223552,108.19130442142486,3204002,251.24308919906616,0.006101744006401994
blasted_case105,170,26080182272,322.1526211738586,-1,-1,-1
blasted_case106,204,65917681664,281.6295763492584,-1,-1,-1
blasted_case108,205,55918460928,354.63474745750426,-1,-1,-1
blasted_case109,241,134318391296,297.70474700927736,-1,-1,-1
blasted_case11,105,1569193984,327.4847492456436,-1,-1,-1
blasted_case110,287,158444027904,498.52887375354766,-1,-1,-1
blasted_case111,306,215620780032,553.5319409370422,-1,-1,-1
blasted_case112,137,5962203136,345.811687207222,-1,-1,-1
blasted_case114,428,1814086811648,482.4667539834976,-1,-1,-1
blasted_case116,438,2069637365760,461.3044716835022,-1,-1,-1
blasted_case118,309,230988709888,519.5144507169723,-1,-1,-1
blasted_case120,284,340241940480,340.93443992137907,-1,-1,-1
blasted_case121,291,284810018816,342.391886305809,-1,-1,-1
blasted_case122,314,250920042496,459.10058784484863,-1,-1,-1
blasted_case123,267,148411252736,337.3324428319931,-1,-1,-1
blasted_case124,133,6903824384,282.81610960960387,-1,-1,-1
blasted_case125,393,919659872256,514.6623712539673,-1,-1,-1
blasted_case126,302,270918483968,368.0759481906891,-1,-1,-1
blasted_case127,36,4004864,166.85572831630708,3978981,435.3505280017853,0.006504931790325212
blasted_case131,432,2122787586048,445.7699125289917,-1,-1,-1
blasted_case134,60,92602368,206.28296074867248,92053624,10765.89199590683,0.005961134131992457
blasted_case135,236,90563411968,409.7644615650177,-1,-1,-1
blasted_case136,211,71051509760,320.21015908718107,-1,-1,-1
blasted_case14,247,188643016704,306.918967962265,-1,-1,-1
blasted_case140,488,5785320947712,429.03607647418977,-1,-1,-1
blasted_case145,219,98582921216,318.26988697052,-1,-1,-1
blasted_case17,77,314966016,257.7018440961838,-1,-1,-1
blasted_case19,397,2126008811520,393.8623078584671,-1,-1,-1
blasted_case2,296,349905616896,402.70021150112154,-1,-1,-1
blasted_case200,14,7082,22.36286587715149,7063,0.43979978561401367,0.0026900750389352965
blasted_case203,214,69759664128,284.13211612701417,-1,-1,-1
blasted_case22,126,2591031296,296.35605149269105,-1,-1,-1
blasted_case24,65,133857280,212.60534443855286,133196319,24655.8033349514,0.0049623068036887714
blasted_case25,68,150142976,248.88408863544464,-1,-1,-1
blasted_case31,53,42762240,213.4097661972046,42943645,5880.4458203315735,0.0042242571630796595
blasted_case32,52,40075264,210.648898935318,40264132,5411.379448890686,0.004690725730781928
blasted_case33,51,37502976,210.35739362239838,37713055,4940.1037566661835,0.005570458293553784
blasted_case34,409,1595043479552,436.4174495458603,-1,-1,-1
blasted_case35,400,1757178494976,438.7890256404877,-1,-1,-1
blasted_case36,64,113213440,240.19365198612212,113702357,18404.249160528183,0.004299972427132711
blasted_case38,143,5964300288,442.8117714643478,-1,-1,-1
blasted_case39,245,194817032192,289.7197122812271,-1,-1,-1
blasted_case4,103,1638400000,329.71698389053347,-1,-1,-1
blasted_case43,116,2523922432,341.6122680664063,-1,-1,-1
blasted_case44,173,19872612352,418.73847501277925,-1,-1,-1
blasted_case46,176,21701328896,356.3207252979279,-1,-1,-1
blasted_case47,118,3114270720,280.9553666830063,-1,-1,-1
blasted_case51,132,4254072832,312.5766112804413,-1,-1,-1
blasted_case54,203,50381979648,371.1050703287125,-1,-1,-1
blasted_case55,149,9818865664,339.93928842544557,-1,-1,-1
blasted_case56,202,49509564416,361.8728368282318,-1,-1,-1
blasted_case57,288,200118632448,436.6615718364716,-1,-1,-1
blasted_case59,93,1027604480,241.32297477722167,-1,-1,-1
blasted_case6,329,674041430016,392.9514412879944,-1,-1,-1
blasted_case60,15,25520,35.13143916130066,25593,1.12776780128479,0.0028523424373852226
blasted_case61,282,279843962880,322.27879626750945,-1,-1,-1
blasted_case63,96,1234173952,215.90543899536132,-1,-1,-1
