Benchmark, Approx count, Approx time, Approx max, Approx min,  (max-min)/max
benchmark1,33762604853.7,47.29852039813996,33922148940,33627482375,0.008686553600162336
benchmark10,504774140296.0,61.03584372997284,505960992337,503031691894,0.0057895776302235415
benchmark11,32557916743.9,51.652906966209414,32636220385,32439780654,0.006019071102065669
benchmark12,449485961064.2,42.854813528060916,450644263000,447232454242,0.007570957933175774
benchmark13,206303363783.1,35.94013640880585,206919837410,205776728022,0.005524406950576677
benchmark14,21450965699.0,38.86046860218048,21523711743,21367459168,0.00725955526935622
benchmark15,1046570636.0,31.571053171157835,1050272856,1042391123,0.007504462249950788
benchmark16,7535217497.0,21.13516914844513,7591833984,7484943699,0.014079639415887416
benchmark17,265834818112.5,38.09781260490418,266780377749,265102023319,0.006291146463474453
benchmark18,777443576907.8,94.34788165092468,778875087627,776592904928,0.002930101033213336
benchmark19,5998454178758.5,104.83994009494782,6009384284355,5983485572369,0.00430971140478159
benchmark2,21403621757.9,29.977609848976137,21477342867,21320446395,0.007305208701634683
benchmark20,892778691778.4,79.66259438991547,896203679642,890487976177,0.006377683549885904
benchmark21,11280207865.3,37.85944802761078,11328600082,11229404930,0.008756170337199127
benchmark22,7306461273.4,29.05538468360901,7341549910,7271912655,0.009485361518164766
benchmark23,3604929.6,12.569704508781433,3640391,3576129,0.017652499415584756
benchmark24,128176583819.5,47.67524015903473,128604678146,127866233071,0.005741976774450393
benchmark25,314636440330.4,62.812991452217105,315722707017,313549849337,0.0068821710688138854
benchmark26,21542333210.6,31.897478127479552,21615291249,21488066252,0.005885879377447014
benchmark27,1815595597.9,34.40380539894104,1822976717,1805339800,0.009674790048347063
benchmark28,5415776907765.5,103.8101987361908,5422936594349,5407729222025,0.002804268878940411
benchmark29,288125300092.8,31.403462171554565,289052432782,287169469840,0.006514260834539001
benchmark3,7789903.1,13.760636711120606,7853087,7738051,0.014648507013866012
benchmark30,4666767313.0,19.735728240013124,4678252117,4644720760,0.0071674967832863375
benchmark4,734291644.9,21.9670202255249,735953939,732552545,0.00462174848146305
benchmark5,1533977080189.7,63.268267440795896,1539474261958,1529330652742,0.006589008641884484
benchmark6,4342502220.7,21.56196858882904,4374493860,4326664404,0.010933711997483522
benchmark7,5092300.8,7.95961709022522,5120644,5061758,0.011499725425161367
benchmark8,124597382171.5,46.060884618759154,124921059381,124185750050,0.005886191925072944
benchmark9,873257444.5,19.983128309249878,878917033,868280218,0.012102183255788605
benchmark_apache,908835457989.1,37.80170826911926,913111028582,905962762507,0.007828474140872854
benchmark_bugzilla,319407289.0,14.527575278282166,321185290,317506033,0.011455247530171759
benchmark_gcc,1487205027444.1,29.16976194381714,1496605991259,1478674456360,0.01198146673455138
benchmark_spins,415746.1,38.231722831726074,417011,414067,0.007059765809535001
benchmark_spinv,884196813.9,49.03775882720947,887217161,877852251,0.010555375179448316
