Benchmark, Approx (worst), Approx Time, Exact Count, Exact Time, Mar Error
benchmark1,1705301,257.64966011047363,-1,-1,-1
benchmark10,5629269,353.0472968578339,-1,-1,-1
benchmark11,1680042,283.56433923244475,-1,-1,-1
benchmark12,5136384,386.3100386142731,-1,-1,-1
benchmark13,3566250,235.5215279340744,-1,-1,-1
benchmark14,1363626,282.3674705028534,-1,-1,-1
benchmark15,350976,168.30028970241545,-1,-1,-1
benchmark16,818176,195.48144340515137,-1,-1,-1
benchmark17,4209322,268.87624044418334,-1,-1,-1
benchmark18,5227861,452.82460989952085,-1,-1,-1
benchmark19,14532608,346.38917324543,-1,-1,-1
benchmark2,1341781,203.5655007839203,-1,-1,-1
benchmark20,7662250,514.9680396556854,-1,-1,-1
benchmark21,889514,268.92535104751585,-1,-1,-1
benchmark22,716970,199.580033326149,-1,-1,-1
benchmark23,25312,70.22573628425599,25363,719.9144840240479,0.0020108031384299964
benchmark24,2939562,310.9598984956741,-1,-1,-1
benchmark25,4734976,340.04092314243314,-1,-1,-1
benchmark26,1400490,262.0465362071991,-1,-1,-1
benchmark27,434688,127.68565850257873,436049,11892.794500112534,0.0031212088549681344
benchmark28,14084778,402.6413820505142,-1,-1,-1
benchmark29,4577962,250.60495693683623,-1,-1,-1
benchmark3,34794,60.691371536254884,34728,938.7719013690948,0.0019004837595024188
benchmark30,642048,173.03867108821868,-1,-1,-1
benchmark4,299093,145.48982501029968,-1,-1,-1
benchmark5,9827669,411.72672030925753,-1,-1,-1
benchmark6,560981,159.75842707157136,-1,-1,-1
benchmark7,27605,58.321441078186034,27669,726.8854775428772,0.0023130579348729623
benchmark8,2866517,283.06003267765044,-1,-1,-1
benchmark9,258560,131.756759929657,259060,7538.718715429306,0.001930054813556705
benchmark_apache,8112810,266.347273516655,-1,-1,-1
benchmark_bugzilla,202154,100.75192229747772,202683,5571.213074922562,0.002609987024072073
benchmark_gcc,11135658,222.79742603302003,-1,-1,-1
benchmark_spins,12784,49.921602153778075,12835,376.00500655174255,0.003973509933774834
benchmark_spinv,370944,96.41416554450988,-1,-1,-1
