Benchmark, Approx count, Approx time, Approx max, Approx min,  (max-min)/max
benchmark1,3754740940.3,2140.0451992988587,3777110562,3734608281,0.011252591181099772
benchmark10,28035399024.1,1897.8598890542985,28096244394,27899391726,0.0070063694364090245
benchmark11,3640096631.0,2055.211774587631,3649603720,3629471061,0.005516395900648632
benchmark12,24194087648.8,2250.773269486427,24382887253,24105503948,0.011376146808285453
benchmark13,13160048230.1,2255.6651540756225,13189128738,13122019874,0.005088195386754288
benchmark14,2591296934.7,2235.198209643364,2602705442,2575861896,0.010313708791945578
benchmark15,256083230.3,857.2253568649292,258369126,254664157,0.014339828668228726
benchmark16,1100697217.2,969.588801074028,1106457395,1095831825,0.009603234655049687
benchmark17,17195975311.0,2307.193716788292,17282769442,17153025638,0.007507118835057824
benchmark18,24843701452.3,2460.184719634056,24955549559,24696061952,0.01039799209336258
benchmark19,137270733919.1,3000.0889724493027,137832658807,136937873954,0.006491820304017506
benchmark2,2513786196.9,766.9380387544632,2521056324,2505956829,0.005989352501273192
benchmark20,28230462122.0,2180.503285813332,47369910135,-1,1.0000000000211104
benchmark21,1252335287.9,1990.5771010398864,1259130060,1245708288,0.010659559664551253
benchmark22,873785371.0,920.8829702377319,879405738,871017130,0.009538950722652664
benchmark23,2837162.2,502.2091208219528,2849723,2826786,0.008048852467415255
benchmark24,9384279845.0,1972.0705540180206,9408662732,9339316906,0.007370423191400671
benchmark25,20919175085.7,3844.254382944107,20973756962,20776904294,0.009385665541784206
benchmark26,2686591521.5,1477.4719041347503,2700013294,2675406711,0.009113504387063955
benchmark27,369112732.6,577.8658218383789,370217233,366162739,0.010951661993540964
benchmark28,129976447794.7,2829.2837994098663,130280674645,129672220945,0.004670329668294757
benchmark29,19962650077.4,1415.9508721590041,20007389320,19895541213,0.005590339909475006
benchmark3,4862224.7,401.40952882766726,4876970,4847479,0.006046992292345452
benchmark30,727571933.4,543.1800873994828,732325478,723936870,0.011454753729051605
benchmark4,197978139.0,926.8024477481842,198600294,197202193,0.007039773062974418
benchmark5,71559523860.0,2120.6163561582566,71958597905,71224874325,0.010196468543879419
benchmark6,582742616.3,709.3356011629105,585524838,580911104,0.007879655482693631
benchmark7,3449814.5,320.38543071746824,3455931,3442824,0.0037926104427432146
benchmark8,9030616131.7,1802.6876126766206,9068644488,8983639927,0.009373458305977425
benchmark9,157992440.8,962.1452707290649,158509738,157391257,0.007056228936546473
benchmark_apache,52071109754.4,1507.4851083517074,52183852646,51915417190,0.00514403292185013
benchmark_bugzilla,103665718.1,380.53235886096957,104053691,103319688,0.0070540794175191724
benchmark_gcc,89152783646.3,602.1425145626068,89371111150,88905823027,0.005206247488845281
benchmark_spins,775017.5,282.00958957672117,777147,773324,0.004919275246510635
benchmark_spinv,274286509.7,264.57792682647704,275076437,273189000,0.006861500100061278
