Benchmark,twise,BLMMaxCov Time, ApproxMaxCov Time, Strategy 1 Mean Time, Strategy 3 Mean Time, Strategy 1 Max Coverage, Strategy 3 Max Coverage, Strategy 1 Mean Coverage, Strategy 3 Mean Coverage
FM-361.cnf,2,0.262414455413818,1.4534273147583,0.630901956558228,1.57942533493042,1,1,0.999492224690574,0.998857505553792
XSEngine.cnf,2,15150.2322232723,2163.1841313839,1799.86442387104,1787.25627462864,0.918758246283395,0.920019496945198,0.916910910725841,0.91772336187843
aaed2000.cnf,2,-1,3128.39348864555,-1,1118.67606585026,-1,2861749,-1,2850592.6
adder.cnf,2,14551.3909499645,2226.57709789276,1805.32265176773,1790.56461894512,0.922267016836576,0.925756106482529,0.920010012999795,0.921582553959674
adderII.cnf,2,14828.7326695919,2227.95265293121,3766.53852536678,3716.43331503868,0.936247020041142,0.935941098298278,0.92351943354798,0.924528942615487
aeb.cnf,2,13705.0151336193,1941.21795368195,904.981888866425,869.223301029205,0.927690641843026,0.924384202256254,0.920049357848442,0.919424873446594
aim711.cnf,2,15426.8557903767,2083.89092350006,3715.34390230179,3675.46556310654,0.927702470640929,0.927786492383479,0.92482839144893,0.92433560895009
aki3068net.cnf,2,12848.6361703873,2040.88645887375,653.743262219429,640.144436597824,0.924762647342109,0.92475934504426,0.921585176351878,0.921994331055359
am31_sim.cnf,2,11597.3029384613,1851.35444927216,604.477118945122,573.739757466316,0.923020272303623,0.922118654632393,0.9203803309981,0.920805929476109
asb.cnf,2,13328.1785202026,2317.78530979156,1319.09859771729,1285.90067996979,0.940366920283233,0.945493179802744,0.923624066716399,0.92769189960681
asb2305.cnf,2,13460.2571260929,2395.41081476212,795.332974672318,785.063125514984,0.924707848348052,0.942283894286308,0.922831382139038,0.927059303857763
assabet.cnf,2,15114.5192968845,2504.81690573692,920.216977763176,891.62606189251,0.92109296823937,0.925339876879798,0.91892868480228,0.92098487315244
at91sam7sek.cnf,2,15944.2437450886,2602.76986074448,1141.84432706833,1117.41834027767,0.922048784616536,0.925191821268478,0.920143886297272,0.922078668693662
at91sam7xek.cnf,2,16724.563605547,2796.69771933556,1347.06648888588,1352.03417983055,0.924712432202621,0.926049732788509,0.922218769074326,0.923281616918546
atlas_mips32_4kc.cnf,2,13111.7109162807,2289.40461039543,707.43843369484,697.82375035286,0.925346968537372,0.926129664164259,0.922713255623183,0.922513169107105
atlas_mips64_5kc.cnf,2,12889.5004200935,1883.48631000519,1444.84410846233,1405.92342116833,0.926208758507448,0.92676915013005,0.922911562076092,0.923547246028394
axtls.cnf,2,2.84819364547729,4.12793135643005,1.01843178272247,2.55468173027039,0.995743893412287,0.996545768566494,0.988058228472736,0.990759930915371
brutus.cnf,2,13881.4870922565,2353.86417913437,826.47026951313,809.792892718315,0.921965226594453,0.92443534348281,0.918705478603761,0.920235890533252
buildroot.cnf,2,547.640323162079,535.101783514023,22.3289258003235,22.5010875463486,0.987982680638048,0.987982680638048,0.987982680638048,0.987982680638048
busybox_1_28_0.cnf,2,2266.57052016258,1029.12282204628,49.7630621671677,38.7918537855148,0.994337979759015,0.994233655280371,0.993832540382479,0.99369086265148
calm16_ceb.cnf,2,11761.1394662857,1826.25828480721,1746.80233428478,1712.93865103722,0.921617631332265,0.92308424529902,0.919610046775741,0.920700410017318
calm32_ceb.cnf,2,11747.1932113171,1794.68155002594,1720.08485908508,1806.73332576752,0.922143716417028,0.934497118675472,0.920245814528958,0.922855987831491
ceb_v850.cnf,2,12321.7138624191,2185.41327834129,774.836130976677,783.198032927513,0.92357309277485,0.939564695616299,0.920332907979618,0.922653067504356
cerf.cnf,2,15717.788500309,2295.51133418083,2534.68139872551,2579.98981897831,0.923466914130788,0.928477930296871,0.920808515817177,0.922394334429769
cerfpda.cnf,2,16195.2192897797,2564.91945362091,2377.88163087368,2339.92353405952,0.931486148535744,0.929395391940174,0.924549744669378,0.924498888427864
cma230.cnf,2,13740.0162599087,2270.28694939613,841.001694130897,871.716044974327,0.922971898070444,0.924609846675943,0.918442815652784,0.919664949003581
cma28x.cnf,2,12620.6574268341,2238.82365965843,740.868891191483,720.603506374359,0.92436587748364,0.925179778149903,0.920301718506906,0.922274601845584
cme555.cnf,2,14342.1096880436,2502.5920586586,1376.65948314667,1316.47337932587,0.926945419387841,0.949383140926152,0.924850723184072,0.927708977499006
cq7708.cnf,2,-1,3024.86683416367,-1,2082.98280022144,-1,2634309,-1,2602862.8
cq7750.cnf,2,14159.6273651123,2299.96011781692,720.76084458828,700.048829579353,0.922735808602316,0.932779189243421,0.919496944817258,0.92109120120272
csb281.cnf,2,13805.6426095963,2164.53111624718,2692.5859446764,2693.93772118092,0.9263131958882,0.93647437293935,0.922978813886687,0.924953418948274
dreamcast.cnf,2,14073.7026324272,2222.60133743286,1619.98795790672,1633.62256033421,0.919666510777018,0.923233861982641,0.918064022503129,0.919026182583458
e7t.cnf,2,15258.9620249271,2302.54338335991,2873.38899464607,2892.83531537056,0.916251025485396,0.915444643798064,0.913424020703133,0.913872999886613
ea2468.cnf,2,18707.1817951202,2931.56996059418,2156.99773583412,2193.532943964,0.932965502268201,0.947669263195231,0.930662876704416,0.934619958371562
eb40.cnf,2,14404.9563601017,2018.43977189064,2561.16831691265,2542.91881632805,0.929645335931316,0.942316830235576,0.91876635161903,0.923197262557973
eb40a.cnf,2,14274.8270106316,2505.24464631081,1150.36100664139,1151.3916428566,0.921266860046309,0.932180517451361,0.917913148985248,0.919409320749037
eb42.cnf,2,13967.936953783,2452.37099599838,995.2630651474,973.251831364632,0.919856056310726,0.920012624895399,0.917760842019458,0.918193695575997
eb55.cnf,2,14753.3766765594,2252.90625,1092.69670033455,1068.98338906765,0.922743395459677,0.933563363622785,0.920149516324144,0.922278255241448
ebsa285.cnf,2,14559.922015667,2104.51337337494,1214.21090576649,1208.7896212101,0.927392037246514,0.927142106472558,0.925624869614325,0.926104415750965
ec555.cnf,2,13879.0580928326,2124.49290943146,1954.24413120747,1947.4300536871,0.9288398188182,0.945434224001241,0.9259325140579,0.932033428790686
ecos-icse11.cnf,2,12579.40670228,1420.90234017372,1457.61392998695,1469.17319257259,0.92432073214857,0.92476468346649,0.921485903686617,0.921511399961996
edb7xxx.cnf,2,14256.0331852436,2493.12813854217,2643.49762761593,2612.65950944424,0.926795057446347,0.935702059397355,0.924059761543464,0.925689174073271
edosk2674.cnf,2,12213.6251392365,1916.48305726051,943.277866029739,958.564981174469,0.924535799761793,0.924006700423955,0.920601477125272,0.920956273879829
embtoolkit.cnf,2,-1,9889.86699223518,-1,104.295648288727,-1,8037247,-1,8029496.4
excalibur_arm9.cnf,2,-1,2932.92762136459,-1,723.752467513084,-1,2649035,-1,2600769.2
fads.cnf,2,11828.2270846367,2189.79212641716,729.501167631149,719.637024831772,0.925183367356063,0.941724069673863,0.921649079552046,0.927400742411377
financial.cnf,2,4169.21758675575,1067.54111552238,23.4814934253693,50.8469129562378,0.91595922150139,0.891173744752767,0.878031510658017,0.875527013029494
flexanet.cnf,2,16090.3841738701,2402.42581272125,2348.51827409267,2352.70193214416,0.926553770448216,0.927893881384817,0.921983230575907,0.923541326656383
freebsd-icse11.cnf,2,-1,-1,-1,-1,-1,-1,-1,-1
frv400.cnf,2,13873.2316608429,2342.93117928505,2999.20203502178,3065.96773850918,0.926461881014727,0.940494159703343,0.924446408815206,0.927807359162956
gps4020.cnf,2,13337.4338555336,2235.08238697052,933.440035653114,906.988447546959,0.923505408786519,0.93509824122452,0.920599602619766,0.923855176981382
grg.cnf,2,14274.7421071529,2203.55625224113,3461.23040306568,3486.18808200359,0.925981313874302,0.939749213988568,0.922764756068537,0.924984690348378
h8300h_sim.cnf,2,12088.144462347,1892.31064248085,412.863136744499,413.983282089233,0.923033726154046,0.938453179305448,0.920104080436784,0.924110611429936
h8max.cnf,2,12809.8087208271,1850.18190598488,909.303378725052,891.816757845879,0.925110965291633,0.934818693464882,0.921937208060338,0.923211981179665
h8s_sim.cnf,2,11640.3198335171,2146.52731251717,634.418635034561,633.995959734917,0.922321195415639,0.936755162241888,0.920416577203927,0.925018269742251
hs7729pci.cnf,2,-1,3115.51957130432,-1,3714.18055226803,-1,2975111,-1,2920947.8
innovator.cnf,2,-1,3004.29703140259,-1,1482.79268505573,-1,2726409,-1,2710962.6
integrator_arm7.cnf,2,15407.3509297371,2189.64570188522,1300.18675019741,1225.21353626251,0.925713029657435,0.929297284501708,0.920098846843191,0.923558858340942
integrator_arm9.cnf,2,-1,3471.06631112099,-1,593.167202782631,-1,2778866,-1,2759803
ipaq.cnf,2,14832.8576285839,2592.08507728577,1885.46480989456,1903.48545234203,0.927745431327547,0.941937220659545,0.923855597163023,0.925929282645084
iq80310.cnf,2,15077.01927495,2504.35005307198,3494.45379416943,3371.41499783993,0.927319617228113,0.926938264015322,0.924937696545527,0.925536174510473
iq80321.cnf,2,15038.827473402,2192.28753376007,2248.19307243824,2209.82058668137,0.924760247719735,0.940201046918855,0.919890407672073,0.924164196676511
ixdp425.cnf,2,14680.8422777653,2190.52903342247,3245.72800378799,3204.16151545048,0.926748053125575,0.925562669617322,0.923492192866478,0.924060839352114
jmr3904.cnf,2,12445.0065026283,1901.88565516472,1768.39023983479,1684.79163951874,0.92429569336937,0.92512668492546,0.920539528962158,0.920806804972587
jtst.cnf,2,14432.7137155533,2119.79946136475,1409.90206167698,1476.17291212082,0.919415478445706,0.91999442804867,0.917351891533616,0.917566804643807
linux.cnf,2,13376.5317919254,1964.43761014938,1100.81087551117,1095.68671591282,0.928263890576725,0.936732342172196,0.924228607089295,0.926503111735094
lpcmt.cnf,2,14433.2405390739,2105.75234246254,1790.24480106831,1893.51864895821,0.926718909554659,0.9288207676041,0.924523766404967,0.925751604701098
m5272c3.cnf,2,16032.76755023,2688.03660702705,2765.10460009575,2664.62545201778,0.927639638694023,0.949105568460697,0.922861668313839,0.935314324177616
mac7100evb.cnf,2,14279.6872169971,2312.23581576347,1974.65124342442,1950.13962848187,0.923702838224605,0.946448599059604,0.919389069030529,0.923950004542976
mace1.cnf,2,13868.251183033,2123.5296831131,1918.63693823814,1834.61427018642,0.921574027803016,0.942296744389424,0.919569403904688,0.926303017956115
malta_mips32_4kc.cnf,2,13473.7054200172,2035.10049343109,1787.2674577713,1780.70119271278,0.924813100496695,0.925405822560439,0.92276359305155,0.922523967009132
malta_mips64_5kc.cnf,2,13448.9595060349,2053.24569940567,1458.61584610939,1391.32095317841,0.926382586155497,0.926117947702367,0.923469871740208,0.923043102591624
mb93091.cnf,2,13802.3651077747,2046.2793815136,1206.45589358807,1220.13224351406,0.925691509015793,0.942775447647889,0.92449634703477,0.927136747320806
