Benchmark,twise, ApproxMaxCov Time, Strategy 3 Mean Time, Strategy 3 Max Coverage, Strategy 3 Mean Coverage
FM-361.cnf,5,48.195000648498535,25.165900421142577,0.9999465533519225,0.9912907869230640407288317256
XSEngine.cnf,5,16101.19013762474,2547.963954424858,0.8856672023036231,0.8537316403470876312680413867
aaed2000.cnf,5,17998.01588320732,1949.3085235118865,0.8640290888631872,0.8369798934385369371847364156
adder.cnf,5,15988.021703720093,2637.9894692659377,0.8766366570183206,0.8463817770757306820778914456
adderII.cnf,5,16638.35529112816,-1,-1,-1
aeb.cnf,5,14367.592260360718,1658.1417963981628,0.8910182191233801,0.8609085226813610823256515082
aim711.cnf,5,15775.979629993439,4536.745062494278,0.8909762295290313,0.8683040012115620773075903634
aki3068net.cnf,5,14035.118304729462,1403.224789237976,0.8851316471095513,0.8699359169836144248084053502
am31_sim.cnf,5,13493.23849105835,1299.392102575302,0.8967228937854899,0.8700789772269573423952742584
asb.cnf,5,14661.20959186554,2068.6165620088577,0.8913714293783698,0.8624414338068350341446436797
asb2305.cnf,5,15175.80555176735,1615.5098546266556,0.8855025301741433,0.8633070949189863538583823010
assabet.cnf,5,16427.455956220627,1800.0105075120925,0.8947726791035823,0.8569926152609783727072041344
at91sam7sek.cnf,5,17337.121243476868,1940.8912681818008,0.8765471231196471,0.8506656423711751187101551598
at91sam7xek.cnf,5,16841.65439939499,2221.2643990278243,0.8944981260419317,0.8477383401196594207359420977
atlas_mips32_4kc.cnf,5,14824.384526491165,1515.6119611978531,0.8949909853282394,0.8753258056223142141419062636
atlas_mips64_5kc.cnf,5,14371.545819282532,2193.60210647583,0.9056287837618509,0.8721575382872052756878079356
axtls.cnf,5,123.63878130912781,41.949717783927916,0.9818761619270271,0.9725603052064882102587544326
brutus.cnf,5,14682.00177025795,1603.5298466920854,0.8960254972893251,0.8673604112868994737433998304
buildroot.cnf,5,3457.762708902359,176.47949161529542,0.9979338766180796,0.9964627229254739257380120064
busybox_1_28_0.cnf,5,8642.591658830643,315.1628981113434,0.9750663915121649,0.9741823684877330816447571979
calm16_ceb.cnf,5,14374.990822553635,2482.59467086792,0.8904796171426743,0.8620699399956215426862576252
calm32_ceb.cnf,5,14447.010830640793,2459.4205507278443,0.8712259782594335,0.8381249997294281793032199006
ceb_v850.cnf,5,14006.372242212296,1531.605215525627,0.9032736044445702,0.8648947081835802690528326324
cerf.cnf,5,16259.579005718231,3387.472965049744,0.8821166725404158,0.8533081820922600483566072023
cerfpda.cnf,5,17191.874025583267,3148.7782378196716,0.8783044809231261,0.8484643756839849887353577424
cma230.cnf,5,14605.373749732971,1648.6255846500396,0.8771426683134721,0.8643587987256189071359982587
cma28x.cnf,5,14246.841074466705,1530.4270718812943,0.8956830821571686,0.8723674899206063245837657438
cme555.cnf,5,16052.591097593307,2146.2613805532455,0.874999452872641,0.8233918761887094209083174699
cq7708.cnf,5,15054.574594974518,2906.2886827468874,0.8832876137722779,0.8579919618975469015713463870
cq7750.cnf,5,15214.515532493591,1502.0721298933029,0.8774319188271271,0.8500418807856531231959796178
csb281.cnf,5,14765.544246673584,3550.3932178497316,0.8936018104679824,0.8387673272248279508629722997
dreamcast.cnf,5,15236.01750779152,2466.8677304029466,0.897297323749539,0.8725539772221176787757720519
e7t.cnf,5,15995.291459083557,3660.24264690876,0.868162513057931,0.8354093660179244610398836973
ea2468.cnf,5,-1,-1,-1,-1
eb40.cnf,5,14600.18073129654,3336.9742624521255,0.8749064185340955,0.8374997789734538180414244165
eb40a.cnf,5,15343.524799108505,1981.960932159424,0.8779716260851068,0.8576594303049081428601102604
eb42.cnf,5,14827.025759220123,1809.6395703315734,0.8704289340888056,0.8389902096840439495731375574
eb55.cnf,5,16259.520690441132,1994.4625151395799,0.8766178081372822,0.8438067172863131426337845708
ebsa285.cnf,5,15210.850609779358,2060.464380598068,0.8868680654599841,0.8432103185113327614118982072
ec555.cnf,5,15761.525654315948,2798.6239837646485,0.8695474794327714,0.8282792356545659071885378021
ecos-icse11.cnf,5,13194.185487031937,2328.9551240205765,0.8840942544966999,0.8508404112410888173127602759
edb7xxx.cnf,5,15140.644910097122,3479.4886609077453,0.9003297315387274,0.8649364394709800629321044269
