Benchmark,twise,seed, ApproxMaxCov Time, Strategy 3 Time, Strategy 3 Combinations
FM-361.cnf,5,1,48.195000648498535,24.68432593345642,15285455
FM-361.cnf,5,2,48.195000648498535,28.12463140487671,15225839
FM-361.cnf,5,3,48.195000648498535,24.52570080757141,15144971
FM-361.cnf,5,4,48.195000648498535,23.026103734970093,15070727
FM-361.cnf,5,5,48.195000648498535,23.19814944267273,15182231
FM-361.cnf,5,6,48.195000648498535,27.492253303527832,15136691
FM-361.cnf,5,7,48.195000648498535,25.988006830215454,15162083
FM-361.cnf,5,8,48.195000648498535,24.16849660873413,15164843
FM-361.cnf,5,9,48.195000648498535,24.500917434692383,15119303
FM-361.cnf,5,10,48.195000648498535,25.950418710708618,15039263
XSEngine.cnf,5,1,16101.19013762474,2457.115077972412,528508209206620
XSEngine.cnf,5,2,16101.19013762474,2530.2018172740936,522031305693348
XSEngine.cnf,5,3,16101.19013762474,2502.5145711898804,512748930237056
XSEngine.cnf,5,4,16101.19013762474,2459.588654756546,543015998577924
XSEngine.cnf,5,5,16101.19013762474,2809.8687324523926,524652909496339
XSEngine.cnf,5,6,16101.19013762474,2534.859100341797,513976694914022
XSEngine.cnf,5,7,16101.19013762474,2547.0449035167694,530975601021200
XSEngine.cnf,5,8,16101.19013762474,2632.1407363414764,521562738497791
XSEngine.cnf,5,9,16101.19013762474,2486.2043244838715,521995718311407
XSEngine.cnf,5,10,16101.19013762474,2520.101625919342,514890104383843
aaed2000.cnf,5,1,17998.01588320732,1979.70605635643,545152353159884
aaed2000.cnf,5,2,17998.01588320732,1875.8854532241821,568914150795373
aaed2000.cnf,5,3,17998.01588320732,1954.984881401062,570759031105618
aaed2000.cnf,5,4,17998.01588320732,1881.3193681240082,549917750710375
aaed2000.cnf,5,5,17998.01588320732,2043.3408069610596,553731372553108
aaed2000.cnf,5,6,17998.01588320732,1933.4802825450897,555511062746384
aaed2000.cnf,5,7,17998.01588320732,1883.1029675006866,575231073129746
aaed2000.cnf,5,8,17998.01588320732,2117.6636366844177,553229408652441
aaed2000.cnf,5,9,17998.01588320732,1918.66170668602,551716997938742
aaed2000.cnf,5,10,17998.01588320732,1904.94007563591,548066351388433
adder.cnf,5,1,15988.021703720093,2768.8420848846436,556290592914953
adder.cnf,5,2,15988.021703720093,2550.9536068439484,533365265602455
adder.cnf,5,3,15988.021703720093,2610.020228624344,545232201172788
adder.cnf,5,4,15988.021703720093,2727.007189512253,547763565311742
adder.cnf,5,5,15988.021703720093,2601.208618402481,556153762420956
adder.cnf,5,6,15988.021703720093,2636.2972412109375,540523988265690
adder.cnf,5,7,15988.021703720093,2604.038186788559,556414984273133
adder.cnf,5,8,15988.021703720093,2801.1444878578186,544442316048347
adder.cnf,5,9,15988.021703720093,2532.1369123458862,568443628609100
adder.cnf,5,10,15988.021703720093,2548.246136188507,539622150918888
adderII.cnf,5,1,16638.35529112816,-1,-1
adderII.cnf,5,2,16638.35529112816,-1,-1
adderII.cnf,5,3,16638.35529112816,-1,-1
adderII.cnf,5,4,16638.35529112816,-1,-1
adderII.cnf,5,5,16638.35529112816,-1,-1
adderII.cnf,5,6,16638.35529112816,-1,-1
adderII.cnf,5,7,16638.35529112816,-1,-1
adderII.cnf,5,8,16638.35529112816,-1,-1
adderII.cnf,5,9,16638.35529112816,-1,-1
adderII.cnf,5,10,16638.35529112816,-1,-1
aeb.cnf,5,1,14367.592260360718,1648.5801401138306,426541680068997
aeb.cnf,5,2,14367.592260360718,1620.9803128242493,417196555670042
aeb.cnf,5,3,14367.592260360718,1643.5048160552979,425845453592265
aeb.cnf,5,4,14367.592260360718,1760.6808788776398,405870617914750
aeb.cnf,5,5,14367.592260360718,1554.5375888347626,419839274479610
aeb.cnf,5,6,14367.592260360718,1678.4948425292969,432508635154794
aeb.cnf,5,7,14367.592260360718,1675.973937511444,415867841760222
aeb.cnf,5,8,14367.592260360718,1678.5898220539093,435347474098653
aeb.cnf,5,9,14367.592260360718,1680.9758145809174,417838849109844
aeb.cnf,5,10,14367.592260360718,1639.0998106002808,409503743402486
aim711.cnf,5,1,15775.979629993439,4410.915705680847,541971892023375
aim711.cnf,5,2,15775.979629993439,5054.045385360718,536934048847246
aim711.cnf,5,3,15775.979629993439,4375.9577922821045,530558405210470
aim711.cnf,5,4,15775.979629993439,4499.477699756622,550312053453714
aim711.cnf,5,5,15775.979629993439,4508.325328111649,548775390762430
aim711.cnf,5,6,15775.979629993439,4622.063878774643,488628605187135
aim711.cnf,5,7,15775.979629993439,4482.585118770599,548540371762587
aim711.cnf,5,8,15775.979629993439,4581.420253276825,543207248304603
aim711.cnf,5,9,15775.979629993439,4546.318665981293,528780697391142
aim711.cnf,5,10,15775.979629993439,4286.340796947479,545376654457003
aki3068net.cnf,5,1,14035.118304729462,1411.0515720844269,427916454026673
aki3068net.cnf,5,2,14035.118304729462,1414.907637834549,414261733768196
aki3068net.cnf,5,3,14035.118304729462,1351.8113448619843,427438180112190
aki3068net.cnf,5,4,14035.118304729462,1426.7467715740204,409402470797054
aki3068net.cnf,5,5,14035.118304729462,1388.4953479766846,428112546331610
aki3068net.cnf,5,6,14035.118304729462,1431.4209356307983,423171976795006
aki3068net.cnf,5,7,14035.118304729462,1398.296105146408,419006210999863
aki3068net.cnf,5,8,14035.118304729462,1426.2253110408783,427481224764494
aki3068net.cnf,5,9,14035.118304729462,1402.731344461441,431254805949761
