Benchmark, twise, seed, Strategy 1 Coverage, Strategy 3 Coverage
am31_sim.cnf,2,1,0.920779528077986,0.9207116387685276
am31_sim.cnf,2,2,0.923020272303623,0.9210157511138214
am31_sim.cnf,2,3,0.918881009494181,0.9209550080474638
am31_sim.cnf,2,4,0.922359641830296,0.9226574019594999
am31_sim.cnf,2,5,0.918674562471266,0.9205294095694547
am31_sim.cnf,2,6,0.920664791174866,0.9291640563028674
am31_sim.cnf,2,7,0.919898952122553,0.9208331249012429
am31_sim.cnf,2,8,0.918315265248693,0.9200426710115824
am31_sim.cnf,2,9,0.922278254061647,0.9235697389953812
am31_sim.cnf,2,10,0.918931033195887,0.9171238277183713
am31_sim.cnf,2,11,0.9194955864008582,0.9239953374733901
am31_sim.cnf,2,12,0.9180361647542526,0.9260629838105833
am31_sim.cnf,2,13,0.9193129601882797,0.9215628357245457
am31_sim.cnf,2,14,0.9239345944070325,0.9301978794714638
am31_sim.cnf,2,15,0.9311102165073452,0.9189481047766282
am31_sim.cnf,2,16,0.9173064539309498,0.9204075264232339
am31_sim.cnf,2,17,0.9235697389953812,0.9241779636859687
am31_sim.cnf,2,18,0.9193129601882797,0.9230222573711513
am31_sim.cnf,2,19,0.9207116387685276,0.9239345944070325
am31_sim.cnf,2,20,0.9171845707847289,0.9192522171219221
am31_sim.cnf,2,21,0.9229615143047937,0.9205294095694547
am31_sim.cnf,2,22,0.915360293726472,0.9253332729872805
am31_sim.cnf,2,23,0.9175494261963804,0.9235697389953812
am31_sim.cnf,2,24,0.9189481047766282,0.9221710604151332
am31_sim.cnf,2,25,0.917975421687895,0.9248465344294082
am31_sim.cnf,2,26,0.9238738513406749,0.9354273413672987
am31_sim.cnf,2,27,0.9145698398368116,0.9229615143047937
am31_sim.cnf,2,28,0.9203467833568763,0.9226574019594999
am31_sim.cnf,2,29,0.918826618643913,0.9182791370196831
am31_sim.cnf,2,30,0.9163941168950686,0.9232048835837298
am31_sim.cnf,2,31,0.9248465344294082,0.9174279400636651
am31_sim.cnf,2,32,0.9166374861740046,0.916576743107647
am31_sim.cnf,2,33,0.9173064539309498,0.9194955864008582
am31_sim.cnf,2,34,0.9137793859471511,0.9238738513406749
am31_sim.cnf,2,35,0.915360293726472,0.9156644060717658
am31_sim.cnf,2,36,0.9194955864008582,0.9174279400636651
am31_sim.cnf,2,37,0.9196778155999311,0.9272182931118951
am31_sim.cnf,2,38,0.9282521162804916,0.9275224054571889
am31_sim.cnf,2,39,0.9173671969973074,0.9253332729872805
am31_sim.cnf,2,40,0.9192522171219221,0.9211979803128942
am31_sim.cnf,2,41,0.9191914740555645,0.922475172760427
am31_sim.cnf,2,42,0.92010341407794,0.9194348433345005
am31_sim.cnf,2,43,0.9244816790177568,0.9385288108730883
am31_sim.cnf,2,44,0.9189481047766282,0.9215628357245457
am31_sim.cnf,2,45,0.9222318034814908,0.9205901526358123
am31_sim.cnf,2,46,0.9247857913630506,0.921502092658188
am31_sim.cnf,2,47,0.9156644060717658,0.9173064539309498
am31_sim.cnf,2,48,0.9222925465478484,0.9174886831300227
am31_sim.cnf,2,49,0.9185225062986193,0.9244209359513992
am31_sim.cnf,2,50,0.9361570521906014,0.9382854415941522
asb2305.cnf,2,1,0.922468819046554,0.9247493444148932
asb2305.cnf,2,2,0.923669040030693,0.9301367998725578
asb2305.cnf,2,3,0.92453694081852,0.9336263377646209
asb2305.cnf,2,4,0.923855772331478,0.9268308293270288
asb2305.cnf,2,5,0.923298388721791,0.9415851427200953
asb2305.cnf,2,6,0.923660951814275,0.920769941937156
asb2305.cnf,2,7,0.924707848348052,0.925912289271192
asb2305.cnf,2,8,0.91920891616845,0.9170352959214642
asb2305.cnf,2,9,0.922417828116961,0.9250552899924498
asb2305.cnf,2,10,0.920489315993604,0.9257899110401693
asb2305.cnf,2,11,0.9215045629848754,0.9268308293270288
asb2305.cnf,2,12,0.9200965100049479,0.9344833370433631
asb2305.cnf,2,13,0.9240143717055903,0.9458704907753892
asb2305.cnf,2,14,0.9245654254067758,0.9253000464544952
asb2305.cnf,2,15,0.94103408901891,0.9389526041067743
asb2305.cnf,2,16,0.9200349692278531,0.9272591531356081
asb2305.cnf,2,17,0.9233409397733823,0.9220556166860608
asb2305.cnf,2,18,0.9249329117614271,0.9403606570867018
asb2305.cnf,2,19,0.9249329117614271,0.9472785437553167
asb2305.cnf,2,20,0.9368099300791274,0.9278713959523048
asb2305.cnf,2,21,0.9287287468926303,0.9257899110401693
asb2305.cnf,2,22,0.9201576991204592,0.913055893443727
asb2305.cnf,2,23,0.9249329117614271,0.9204636446980159
asb2305.cnf,2,24,0.9236472370125223,0.921443373869364
asb2305.cnf,2,25,0.9270755857890741,0.9227290486182689
asb2305.cnf,2,26,0.928851125123653,0.9258511001556806
asb2305.cnf,2,27,0.9416463318356066,0.9396872251544938
asb2305.cnf,2,28,0.9195454563037625,0.9394424686924484
asb2305.cnf,2,29,0.9216881303314094,0.9219940759089661
asb2305.cnf,2,30,0.9244430471757531,0.9197290236502965
asb2305.cnf,2,31,0.9253000464544952,0.9455033560823212
asb2305.cnf,2,32,0.9242594798292191,0.9227290486182689
asb2305.cnf,2,33,0.9223615622636174,0.9219328867934548
asb2305.cnf,2,34,0.9188720243715544,0.9226675078411741
asb2305.cnf,2,35,0.9221168058015722,0.9405442244332358
asb2305.cnf,2,36,0.9192391590646224,0.9172800523835095
asb2305.cnf,2,37,0.9145251355391658,0.921443373869364
asb2305.cnf,2,38,0.9233409397733823,0.9280553149604223
asb2305.cnf,2,39,0.9187496461405317,0.921626941215898
asb2305.cnf,2,40,0.9218716976779434,0.9247493444148932
asb2305.cnf,2,41,0.9217493194469207,0.9228514268492916
asb2305.cnf,2,42,0.9228514268492916,0.9256063436936353
asb2305.cnf,2,43,0.9244430471757531,0.9385239286366116
asb2305.cnf,2,44,0.9212594548612466,0.9204636446980159
asb2305.cnf,2,45,0.9236472370125223,0.9421361964212808
asb2305.cnf,2,46,0.9299528808644404,0.9507684333089632
asb2305.cnf,2,47,0.9265857212034,0.9281776931914449
asb2305.cnf,2,48,0.9227902377337802,0.9267696402115174
asb2305.cnf,2,49,0.9243206689447304,0.9415851427200953
asb2305.cnf,2,50,0.9238919934745676,0.9186881053634369
at91sam7sek.cnf,2,1,0.918644994742616,0.9214566371623799
at91sam7sek.cnf,2,2,0.921439383828092,0.9254675490824807
at91sam7sek.cnf,2,3,0.921004795124794,0.9217033923961626
at91sam7sek.cnf,2,4,0.91975474222542,0.9190499597964757
at91sam7sek.cnf,2,5,0.922048784616536,0.9247272833811326
at91sam7sek.cnf,2,6,0.918814598274015,0.9194819442229001
at91sam7sek.cnf,2,7,0.921898062092471,0.925899533508905
at91sam7sek.cnf,2,8,0.920165566902245,0.929232031303408
at91sam7sek.cnf,2,9,0.920135292183588,0.9209012751190643
at91sam7sek.cnf,2,10,0.917532642982939,0.9256527782751223
at91sam7sek.cnf,2,11,0.9177540065172028,0.920530816733781
