Benchmark, twise, seed, approx combinations, approx coverage
XSEngine.cnf,5,1,605194195097897,0.9870807693078129218690426353
XSEngine.cnf,5,2,604339215791135,0.9856862852914479272630056494
XSEngine.cnf,5,3,603590778534771,0.9844655729502284252376025687
XSEngine.cnf,5,4,604888279009002,0.9865818155987125432473264770
XSEngine.cnf,5,5,604200628534880,0.9854602474070324695476419961
XSEngine.cnf,5,6,604120019975819,0.9853287736435112327536013970
XSEngine.cnf,5,7,603943936525083,0.9850415789059828105680118412
XSEngine.cnf,5,8,603494312554255,0.9843082354955220678718908836
XSEngine.cnf,5,9,604376051259722,0.9857463644907614437504563998
XSEngine.cnf,5,10,604184110387532,0.9854333060620495320081283255
aaed2000.cnf,5,1,650606927729355,0.9772478178474166818712180454
aaed2000.cnf,5,2,650092775697804,0.9764755328786282063385703955
aaed2000.cnf,5,3,649903418152286,0.9761911073057308535819871676
aaed2000.cnf,5,4,651126526286664,0.9780282838010440852022387586
aaed2000.cnf,5,5,650728566804616,0.9774305265088179006458903816
aaed2000.cnf,5,6,650952963665844,0.9777675830841793226498055320
aaed2000.cnf,5,7,650895412043668,0.9776811373443816193247953788
aaed2000.cnf,5,8,651153395813737,0.9780686433262497627520110861
aaed2000.cnf,5,9,650925731037054,0.9777266781599846836579402157
aaed2000.cnf,5,10,651496526936487,0.9785840453710962058268764312
adder.cnf,5,1,636408899420548,0.9814506522833892085438261804
adder.cnf,5,2,635894980854792,0.9806581025373988325702482080
adder.cnf,5,3,636991236534829,0.9823487150558933301624692361
adder.cnf,5,4,635431986474520,0.9799440865377243529277213704
adder.cnf,5,5,634812928519006,0.9789893939889657872540685978
adder.cnf,5,6,635374480251456,0.9798554021711356625207251742
adder.cnf,5,7,635151730242841,0.9795118838113981184414214833
adder.cnf,5,8,635111891594333,0.9794504458465929976741468669
adder.cnf,5,9,635038796334896,0.9793377205372540080456371881
adder.cnf,5,10,634771184543830,0.9789250176867131163942935154
adderII.cnf,5,1,646947870311039,0.9851748185369099534980955858
adderII.cnf,5,2,646859364193605,0.9850400410653641760269746764
adderII.cnf,5,3,645251825647145,0.9825920749022815067183839172
adderII.cnf,5,4,646806401288342,0.9849593889402453814913484031
adderII.cnf,5,5,646178412554507,0.9840030851709761941597308510
adderII.cnf,5,6,645451888182973,0.9828967309363691126300094516
adderII.cnf,5,7,645498340697888,0.9829674690128851786424246429
adderII.cnf,5,8,646830859241271,0.9849966336093205379110879108
adderII.cnf,5,9,646841064718033,0.9850121745503738752728840356
adderII.cnf,5,10,646338005096280,0.9842461133353713690897768738
aeb.cnf,5,1,481520048888835,0.9855188371574386801051942608
aeb.cnf,5,2,481739478187099,0.9859679393440712755480479926
aeb.cnf,5,3,481549815900050,0.9855797607894784164432902544
aeb.cnf,5,4,480573785642433,0.9835821363775004074763396621
aeb.cnf,5,5,481907566218314,0.9863119622387469100403047983
aeb.cnf,5,6,480931535960698,0.9843143378267709477562273940
aeb.cnf,5,7,481286555360502,0.9850409499519992863390013135
aeb.cnf,5,8,481715855742420,0.9859195916911239346748665918
aeb.cnf,5,9,481433205681806,0.9853410966529597039694692180
aeb.cnf,5,10,481059206398704,0.9845756387256502413548497711
aim711.cnf,5,1,609139204052716,0.9862196328048488087073452588
aim711.cnf,5,2,609353012244960,0.9865657964328711775339174971
aim711.cnf,5,3,608653184802530,0.9854327490789853137949731120
aim711.cnf,5,4,608968694536767,0.9859435713872119914292692342
aim711.cnf,5,5,608782241709779,0.9856416971401694094166192788
aim711.cnf,5,6,608458005110553,0.9851167457042692415043214294
aim711.cnf,5,7,608708902479002,0.9855229581249067773292289610
aim711.cnf,5,8,608697826073438,0.9855050250013195122059552363
aim711.cnf,5,9,608104399254151,0.9845442443194655069652787303
aim711.cnf,5,10,608903578697999,0.9858381463576419046666750019
aki3068net.cnf,5,1,480545608050891,0.9862988648407008697256466902
aki3068net.cnf,5,2,481296970248705,0.9878410029236894075946596008
aki3068net.cnf,5,3,480700116143333,0.9866159859497717657876535935
aki3068net.cnf,5,4,481300300164491,0.9878478374303516745304607370
aki3068net.cnf,5,5,481140197813529,0.9875192343500891551953360796
aki3068net.cnf,5,6,481840945291406,0.9889574879318321706945200061
aki3068net.cnf,5,7,480998742990966,0.9872289045071299943142952805
aki3068net.cnf,5,8,480714368182894,0.9866452376382799467074517975
aki3068net.cnf,5,9,481248353478239,0.9877412191264400139125261051
aki3068net.cnf,5,10,481174695741066,0.9875900398390980080106362637
am31_sim.cnf,5,1,395329637789163,0.9857442385827403538238009498
am31_sim.cnf,5,2,395149824614747,0.9852958790777634560865253680
am31_sim.cnf,5,3,395602034670008,0.9864234531678205433878039072
am31_sim.cnf,5,4,394848314062362,0.9845440703048428627161272100
am31_sim.cnf,5,5,395566005107144,0.9863336143836341070610011090
am31_sim.cnf,5,6,395414636324463,0.9859561802345945257591396427
am31_sim.cnf,5,7,394847198596020,0.9845412889183368859397703201
am31_sim.cnf,5,8,395609396747868,0.9864418103187669718394220652
am31_sim.cnf,5,9,394632471325083,0.9840058720156820221262140745
am31_sim.cnf,5,10,395533991223114,0.9862537885908761688567457990
