Benchmark, twise, seed, approx combinations, approx coverage, combinations, coverage
XSEngine.cnf,2,1,2730292,0.915939808055651,2724087,0.91571336129016
XSEngine.cnf,2,2,2716138,0.91119152031089,2724399,0.915818241409159
XSEngine.cnf,2,3,2725813,0.914437223570079,2729742,0.91761431344701
XSEngine.cnf,2,4,2727784,0.9150984412573,2724009,0.91568714126041
XSEngine.cnf,2,5,2719004,0.912152986516661,2732195,0.918438899767213
XSEngine.cnf,2,6,2720259,0.912574005389041,2732368,0.918497054448581
XSEngine.cnf,2,7,2739968,0.919185846788045,2733684,0.918939433412049
XSEngine.cnf,2,8,2722230,0.913235223076262,2736897,0.920019496945198
XSEngine.cnf,2,9,2718288,0.911912787701821,2732551,0.918558570672224
XSEngine.cnf,2,10,2732084,0.916540976039162,2730732,0.917947106132294
aaed2000.cnf,2,1,2822311,0.917497698381325,2834288,-
aaed2000.cnf,2,2,2841663,0.923788789426598,2850042,-
aaed2000.cnf,2,3,2863991,0.931047340525133,2853250,-
aaed2000.cnf,2,4,2844826,0.924817040820573,2850133,-
aaed2000.cnf,2,5,2842779,0.924151586946571,2852267,-
aaed2000.cnf,2,6,2857293,0.928869905230526,2854482,-
aaed2000.cnf,2,7,2858595,0.929293169003828,2861749,-
aaed2000.cnf,2,8,2869945,0.932982910806425,2858282,-
aaed2000.cnf,2,9,2840546,0.923425666819241,2838340,-
aaed2000.cnf,2,10,2839058,0.92294193679261,2853093,-
adder.cnf,2,1,2802288,0.922038199123989,2800952,0.921351241822498
adder.cnf,2,2,2807949,0.923900840738713,2805836,0.92295779540323
adder.cnf,2,3,2784210,0.916089985891172,2801337,0.921477884559718
adder.cnf,2,4,2806488,0.923420127190027,2798226,0.920454545454545
adder.cnf,2,5,2808132,0.923961053318733,2801548,0.921547291358558
adder.cnf,2,6,2809045,0.92426145815785,2803879,0.922314055567544
adder.cnf,2,7,2790053,0.918012511055424,2796626,0.91992823797519
adder.cnf,2,8,2805940,0.923239818480458,2814343,0.925756106482529
adder.cnf,2,9,2806853,0.923540223319576,2798448,0.920527570617306
adder.cnf,2,10,2783114,0.915729368472035,2795357,0.919510810355626
adderII.cnf,2,1,2844755,0.92788278379676,2853722,0.932708982790595
adderII.cnf,2,2,2871032,0.936453636439546,2863611,0.935941098298278
adderII.cnf,2,3,2806900,0.915535498079492,2813628,0.919604681125609
adderII.cnf,2,4,2835934,0.925005610178691,2824527,0.923166904496854
adderII.cnf,2,5,2826746,0.922008731003674,2818728,0.92127156241686
adderII.cnf,2,6,2825644,0.921649288159653,2831557,0.925464585963029
adderII.cnf,2,7,2826930,0.922068746868738,2819844,0.921636315264122
adderII.cnf,2,8,2815353,0.918292639967435,2818135,0.921077746611819
adderII.cnf,2,9,2828400,0.922548221442886,2820405,0.92181967220616
adderII.cnf,2,10,2818477,0.919311604980795,2822786,0.922597876981546
aeb.cnf,2,1,2518037,0.923055746175863,2515610,0.923984946554096
aeb.cnf,2,2,2496948,0.915324992961711,2499217,0.917963788572986
aeb.cnf,2,3,2518037,0.923055746175863,2506865,0.920772903209693
aeb.cnf,2,4,2491801,0.913438218491929,2500741,0.918523554617225
aeb.cnf,2,5,2492465,0.913681625961899,2492904,0.915645020175819
aeb.cnf,2,6,2497446,0.915507548564189,2493015,0.915685790537309
aeb.cnf,2,7,2523517,0.925064590958145,2507604,0.921044338319071
aeb.cnf,2,8,2494956,0.914594770551802,2497062,0.917172255879196
aeb.cnf,2,9,2518203,0.923116598043356,2516697,0.924384202256254
aeb.cnf,2,10,2511395,0.920620938321134,2502234,0.919071934344291
aim711.cnf,2,1,2743515,0.916910974396817,2751036,0.920903739201867
aim711.cnf,2,2,2757039,0.921430834509754,2760558,0.92409120945114
aim711.cnf,2,3,2761907,0.923057770255818,2761497,0.924405537802754
aim711.cnf,2,4,2769480,0.92558874486653,2768611,0.926786934920306
aim711.cnf,2,5,2757940,0.921731957991102,2760558,0.92409120945114
aim711.cnf,2,6,2790217,0.932519263881759,2762965,0.924896947834884
aim711.cnf,2,7,2755235,0.920827919126454,2758181,0.923295513506746
aim711.cnf,2,8,2764792,0.924021966974675,2761613,0.924444368568236
aim711.cnf,2,9,2752711,0.919984372326318,2756265,0.922654136380343
aim711.cnf,2,10,2748564,0.918598402207392,2771597,0.927786492383479
aki3068net.cnf,2,1,2518827,0.922652660235371,2513330,0.922196028069532
aki3068net.cnf,2,2,2520306,0.923194421652288,2512825,0.922010732468009
aki3068net.cnf,2,3,2499426,0.91554602517817,2510969,0.921329725267165
aki3068net.cnf,2,4,2507482,0.918496958223931,2516055,0.923195890473788
aki3068net.cnf,2,5,2495973,0.914281182600337,2506713,0.919768105306609
aki3068net.cnf,2,6,2508797,0.918978646028695,2517829,0.923846810072008
aki3068net.cnf,2,7,2518498,0.922532146708552,2510815,0.92127321928175
aki3068net.cnf,2,8,2505509,0.917774243365529,2510762,0.92125377241664
aki3068net.cnf,2,9,2520471,0.923254861566954,2520316,0.92475934504426
aki3068net.cnf,2,10,2496137,0.914341256212491,2508189,0.920309682153832
am31_sim.cnf,2,1,2319094,0.920626111534553,2317151,0.919940241527136
am31_sim.cnf,2,2,2319860,0.920930195630081,2322638,0.922118654632393
am31_sim.cnf,2,3,2319707,0.920869458206301,2317191,0.91995612206736
am31_sim.cnf,2,4,2323995,0.922571693978659,2319477,0.920863694941174
am31_sim.cnf,2,5,2318635,0.920443899263211,2314693,0.918964382330358
am31_sim.cnf,2,6,2340384,0.929077743902439,2322321,0.921992801351116
am31_sim.cnf,2,7,2319400,0.920747586382114,2321961,0.921849876489098
am31_sim.cnf,2,8,2317409,0.919957205919715,2317109,0.919923566959901
am31_sim.cnf,2,9,2326293,0.923483946265244,2321443,0.921644223493195
