Benchmark, twise, seed, approx combinations, approx coverage
XSEngine.cnf,3,1,2129994166,0.915421690044773
XSEngine.cnf,3,2,2117521802,0.910061359620406
XSEngine.cnf,3,3,2171092857,0.933084946486691
XSEngine.cnf,3,4,2192130579,0.942126467508365
XSEngine.cnf,3,5,2109482387,0.906606207027152
XSEngine.cnf,3,6,2096333811,0.90095525649605
XSEngine.cnf,3,7,2177479308,0.935829693801557
XSEngine.cnf,3,8,2145021109,0.921879918793399
XSEngine.cnf,3,9,2069961525,0.889621064597392
XSEngine.cnf,3,10,2173121495,0.93395680766645
aaed2000.cnf,3,1,2270919094,0.92789940642003
aaed2000.cnf,3,2,2115151219,0.864252524796774
aaed2000.cnf,3,3,2147513407,0.877475741385596
aaed2000.cnf,3,4,2134314087,0.872082488395867
aaed2000.cnf,3,5,2094875156,0.855967708806657
aaed2000.cnf,3,6,2098532799,0.857462224739683
aaed2000.cnf,3,7,2118570320,0.865649572272738
aaed2000.cnf,3,8,2121432823,0.866819193348889
aaed2000.cnf,3,9,2130020333,0.870328056985942
aaed2000.cnf,3,10,2129463735,0.870100630586129
adder.cnf,3,1,2192409505,0.911043414363155
adder.cnf,3,2,2192486809,0.911075537604704
adder.cnf,3,3,2152134291,0.894307276158551
adder.cnf,3,4,2173624712,0.903237499494698
adder.cnf,3,5,2212353853,0.919331175777128
adder.cnf,3,6,2169759528,0.901631344065947
adder.cnf,3,7,2221784901,0.923250194624358
adder.cnf,3,8,2174165838,0.903462361354454
adder.cnf,3,9,2156927119,0.896298908823716
adder.cnf,3,10,2203077412,0.915476402997451
adderII.cnf,3,1,2180008880,0.896515083395237
adderII.cnf,3,2,2159017243,0.887882403332183
adderII.cnf,3,3,2186095675,0.899018239954414
adderII.cnf,3,4,2256718099,0.928061272266251
adderII.cnf,3,5,2188904965,0.900173542981725
adderII.cnf,3,6,2157768670,0.887368935457125
adderII.cnf,3,7,2197801049,0.903832002156971
adderII.cnf,3,8,2197098727,0.903543176605764
adderII.cnf,3,9,2192104434,0.90148930469429
adderII.cnf,3,10,2143019898,0.881303594769358
aeb.cnf,3,1,1922228596,0.946890517699817
aeb.cnf,3,2,1874100823,0.923182758910597
aeb.cnf,3,3,1796144557,0.884781473431706
aeb.cnf,3,4,1864247366,0.918328942346179
aeb.cnf,3,5,1823626990,0.89831933009723
aeb.cnf,3,6,1793932556,0.883691840920567
aeb.cnf,3,7,1790514010,0.882007863895952
aeb.cnf,3,8,1866526397,0.919451593860122
aeb.cnf,3,9,1830665174,0.901786342140072
aeb.cnf,3,10,1866057185,0.919220459855292
aim711.cnf,3,1,2193976067,0.939321493112412
aim711.cnf,3,2,2190866089,0.937989997649701
aim711.cnf,3,3,2020272389,0.86495258789405
aim711.cnf,3,4,2057743837,0.880995486909158
aim711.cnf,3,5,2179943237,0.933313524736432
aim711.cnf,3,6,2218324924,0.949746130398495
aim711.cnf,3,7,2002143490,0.857190942389663
aim711.cnf,3,8,2040070057,0.873428694514179
aim711.cnf,3,9,2030512562,0.869336780929137
aim711.cnf,3,10,2223331230,0.951889513317583
aki3068net.cnf,3,1,1893821727,0.931453914848906
aki3068net.cnf,3,2,1892368852,0.930739335389159
aki3068net.cnf,3,3,1815432551,0.892899121741403
