Benchmark, twise, seed, approx combinations, approx coverage, combinations, coverage
XSEngine.cnf,2,1,2975332,0.9981441622294744074201305393,2973956,0.9997078819762507038229139529
XSEngine.cnf,2,2,2972747,0.9972769639943318447268979732,2973163,0.9994413116737959375761599422
XSEngine.cnf,2,3,2972308,0.9971296912572998969426313981,2971947,0.9990325481330834586908473608
XSEngine.cnf,2,4,2972578,0.9972202690226726210924081072,2972335,0.9991629759733765851772793358
XSEngine.cnf,2,5,2974249,0.9977808447483682583304706286,2973855,0.9996739303992671837839200625
XSEngine.cnf,2,6,2969100,0.9960534932153899003778770182,2969709,0.9982802349718050641634381854
XSEngine.cnf,2,7,2970707,0.9965925986559601511508072827,2971809,0.9989861588496802332910339264
XSEngine.cnf,2,8,2972558,0.9972135595585709378220542769,2973587,0.9995838410662812098190649870
XSEngine.cnf,2,9,2970143,0.9964033917682926829268292683,2969933,0.9983555335187784155370483978
XSEngine.cnf,2,10,2973935,0.9976755061619718309859154930,2971958,0.9990362458295866143386585766
aaed2000.cnf,2,1,3074465,0.9994697824775299600532623169,3073970,-
aaed2000.cnf,2,2,3076294,1.000064367301930758988015979,3076442,-
aaed2000.cnf,2,3,3075258,0.9997275767726364846870838881,3075363,-
aaed2000.cnf,2,4,3076662,1.000183999459054593874833555,3076268,-
aaed2000.cnf,2,5,3074496,0.9994798601864181091877496671,3075564,-
aaed2000.cnf,2,6,3074843,0.9995926655084886817576564581,3075464,-
aaed2000.cnf,2,7,3073501,0.9991563982398468708388814913,3074031,-
aaed2000.cnf,2,8,3075506,0.9998081984437416777629826897,3076003,-
aaed2000.cnf,2,9,3075646,0.9998537106774300932090545939,3075985,-
aaed2000.cnf,2,10,3076745,1.000210981711884154460719041,3076733,-
adder.cnf,2,1,3040506,1.000419184846698113207547170,3039848,0.9999342115650805513597153729
adder.cnf,2,2,3037704,0.9994972414083557951482479784,3036815,0.9989365299495271127297990032
adder.cnf,2,3,3038701,0.9998252848087938005390835580,3037869,0.9992832350015526070640989879
adder.cnf,2,4,3039647,1.000136547654144204851752022,3037925,0.9993016557633300526833786835
adder.cnf,2,5,3039097,0.9999555808835916442048517520,3038875,0.9996141508291974337247306621
adder.cnf,2,6,3034851,0.9985585174149258760107816712,3036799,0.9989312668747335568385762330
adder.cnf,2,7,3037668,0.9994853963106469002695417790,3036778,0.9989243590890670147313463472
adder.cnf,2,8,3036672,0.9991576819407008086253369272,3037706,0.9992296174270932564222670168
