Benchmark, twise, seed, approx combinations, approx coverage, combinations, coverage
XSEngine.cnf,2,1,2981856,1.00033278941944,2974552,0.999908229895876
XSEngine.cnf,2,2,2970927,0.996666402761079,2974605,0.999926046069937
XSEngine.cnf,2,3,2976302,0.998469571238406,2974528,0.999900162194415
XSEngine.cnf,2,4,2978094,0.999070739221917,2974642,0.999938483776357
XSEngine.cnf,2,5,2972898,0.9973276204483,2974658,0.999943862243998
XSEngine.cnf,2,6,2976839,0.998649720349536,2974681,0.999951593791231
XSEngine.cnf,2,7,2965551,0.994862898810546,2974585,0.999919322985386
XSEngine.cnf,2,8,2981498,1.00021269001202,2974686,0.999953274562369
XSEngine.cnf,2,9,2975048,0.99804888783923,2974541,0.999904532199373
XSEngine.cnf,2,10,2969672,0.996245383888698,2974448,0.99987326985621
aaed2000.cnf,2,1,3081321,1.00169858157873,3076848,-
aaed2000.cnf,2,2,3080949,1.00157764907207,3077096,-
aaed2000.cnf,2,3,3080949,1.00157764907207,3077069,-
aaed2000.cnf,2,4,3076297,1.00006534256408,3077127,-
aaed2000.cnf,2,5,3078716,1.00085172894474,3077220,-
aaed2000.cnf,2,6,3078902,1.00091219519807,3077105,-
aaed2000.cnf,2,7,3082065,1.00194044659204,3076725,-
aaed2000.cnf,2,8,3081507,1.00175904783206,3077057,-
aaed2000.cnf,2,9,3074064,0.999339422436751,3077004,-
aaed2000.cnf,2,10,3076111,1.00000487631075,3077107,-
adder.cnf,2,1,3041503,1.00074722824714,3039722,0.999892764851081
adder.cnf,2,2,3041321,1.00068734469761,3039865,0.999939803582049
adder.cnf,2,3,3042964,1.00122794179582,3039632,0.999863160055368
adder.cnf,2,4,3038947,0.999906226309805,3039823,0.999925988010716
adder.cnf,2,5,3040773,1.00050703598804,3039926,0.999959869054699
adder.cnf,2,6,3039130,0.999966438889825,3039874,0.99994276406162
adder.cnf,2,7,3039677,1.0001464185689,3039804,0.999919738109398
adder.cnf,2,8,3038399,0.999725917600236,3039765,0.999906909364589
adder.cnf,2,9,3043695,1.00146846308541,3039880,0.999944737714668
adder.cnf,2,10,3050634,1.0037516056688,3039864,0.999939474639874
adderII.cnf,2,1,3062324,0.998847956329325,3059421,0.999939534698259
adderII.cnf,2,2,3052768,0.995731045424182,3058815,0.999741469980122
adderII.cnf,2,3,3060302,0.998188434159987,3059454,0.999950320400731
adderII.cnf,2,4,3061773,0.998668234907315,3059433,0.999943456771885
adderII.cnf,2,5,3056995,0.997109779454743,3059467,0.999954569313827
adderII.cnf,2,6,3060119,0.998128744468103,3059382,0.999926787958973
adderII.cnf,2,7,3045786,0.993453704283567,3059186,0.999862727423074
adderII.cnf,2,8,3056627,0.996989747724616,3059398,0.999932017390474
adderII.cnf,2,9,3052585,0.995671355732298,3059237,0.999879396235986
adderII.cnf,2,10,3052768,0.995731045424182,3059346,0.999915021738093
aeb.cnf,2,1,2728095,1.00005828582489,2722387,0.999934253200841
aeb.cnf,2,2,2728759,1.00030169329486,2722464,0.999962535343496
aeb.cnf,2,3,2727431,0.999814878354917,2722283,0.999896053943229
aeb.cnf,2,4,2724774,0.998840881897523,2722333,0.999914418970927
aeb.cnf,2,5,2710161,0.993484084670608,2722155,0.999849039472321
aeb.cnf,2,6,2713482,0.994701488597973,2722282,0.999895686642675
aeb.cnf,2,7,2725106,0.998962585632508,2722418,0.999945639518013
aeb.cnf,2,8,2711490,0.993971266188063,2722216,0.999871444806113
aeb.cnf,2,9,2723611,0.99841455224756,2722340,0.999916990074804
aeb.cnf,2,10,2723778,0.998475770692568,2722387,0.999934253200841
aim711.cnf,2,1,2995597,1.00115937553474,2986965,0.99988049497175
aim711.cnf,2,2,2984598,0.997483396432238,2987118,0.999931711412429
aim711.cnf,2,3,2981352,0.996398549794661,2986712,0.999795803733243
aim711.cnf,2,4,2984418,0.997423238578029,2987001,0.999892545898969
aim711.cnf,2,5,2996499,1.00146083322639,2987140,0.999939075867951
aim711.cnf,2,6,2988204,0.998688558778234,2986929,0.999868444044532
aim711.cnf,2,7,2990007,0.999291139951232,2987009,0.999895223882795
aim711.cnf,2,8,2988926,0.998929858615674,2987077,0.999917986745319
aim711.cnf,2,9,2980270,0.996036934248802,2987164,0.99994710981943
aim711.cnf,2,10,2985139,0.997664204205168,2987102,0.999926355444776
aki3068net.cnf,2,1,2716288,0.994983120780195,2725039,0.99987671421364
aki3068net.cnf,2,2,2716124,0.994923047168042,2725139,0.999913406411962
aki3068net.cnf,2,3,2723194,0.997512805935859,2725214,0.999940925560703
aki3068net.cnf,2,4,2727468,0.999078382876969,2725197,0.999934687886988
aki3068net.cnf,2,5,2728126,0.999319409930608,2725258,0.999957070127964
aki3068net.cnf,2,6,2730263,1.00010219840116,2725035,0.999875246525707
aki3068net.cnf,2,7,2728784,0.999560436984246,2725123,0.99990753566023
aki3068net.cnf,2,8,2727468,0.999078382876969,2725072,0.999888822639086
aki3068net.cnf,2,9,2725989,0.998536621460053,2725153,0.999918543319727
aki3068net.cnf,2,10,2728619,0.99949999706958,2725199,0.999935421730955
am31_sim.cnf,2,1,2514841,0.998333095147358,2518670,0.999946006163238
am31_sim.cnf,2,2,2516373,0.998941263338415,2518291,0.999795538044613
am31_sim.cnf,2,3,2514381,0.99815048589939,2518620,0.999926155487957
am31_sim.cnf,2,4,2519589,1.00021794016768,2518629,0.999929728609508
am31_sim.cnf,2,5,2524031,1.00198131034045,2518712,0.999962680730473
am31_sim.cnf,2,6,2511012,0.996813071646341,2518681,0.999950373311799
am31_sim.cnf,2,7,2514381,0.99815048589939,2518588,0.999913451055778
am31_sim.cnf,2,8,2521121,1.00082610835874,2518666,0.999944418109215
am31_sim.cnf,2,9,2531230,1.00483914507114,2518669,0.999945609149732
am31_sim.cnf,2,10,2526941,1.00313651232215,2518643,0.999935286798586
asb.cnf,2,1,2817391,1.00195134684541,2812093,0.999897240133097
asb.cnf,2,2,2812261,1.00012696023762,2812232,0.999946664428943
asb.cnf,2,3,2810208,0.999396849963583,2812209,0.999938486308048
asb.cnf,2,4,2820812,1.00316796021486,2812294,0.999968709798313
asb.cnf,2,5,2807643,0.998484656659687,2812247,0.999951997986049
asb.cnf,2,6,2813116,1.00043102467225,2812088,0.999895462280728
asb.cnf,2,7,2809353,0.999092785528951,2812067,0.999887995300781
asb.cnf,2,8,2805591,0.99775490201657,2812217,0.999941330871837
asb.cnf,2,9,2827139,1.00541803703114,2812066,0.999887639730307
asb.cnf,2,10,2821154,1.00328958598871,2812235,0.999947731140364
asb2305.cnf,2,1,2839089,0.997678248133321,2843240,0.99985828038189
asb2305.cnf,2,2,2838915,0.997617103162109,2843556,0.999969405442244
asb2305.cnf,2,3,2844138,0.99945250652213,2843534,0.99996166888741
asb2305.cnf,2,4,2845530,0.999941666291832,2843413,0.999919117835818
asb2305.cnf,2,5,2836478,0.996760722157251,2843502,0.999950415716741
asb2305.cnf,2,6,2845182,0.999819376349406,2843418,0.999920876143735
asb2305.cnf,2,7,2841526,0.998534629138179,2843544,0.999965185503243
asb2305.cnf,2,8,2847097,1.00049232244063,2843371,0.999904348049316
asb2305.cnf,2,9,2840656,0.998228904282116,2843509,0.999952877347825
asb2305.cnf,2,10,2841352,0.998473484166967,2843450,0.999932129314404
assabet.cnf,2,1,2933276,0.996704016614475,2938862,0.999926167346982
assabet.cnf,2,2,2947204,1.00143664100557,2938759,0.999891122354996
assabet.cnf,2,3,2936170,0.997687374956507,2939010,0.999976523257796
assabet.cnf,2,4,2941778,0.999592929062283,2938932,0.999949984331826
assabet.cnf,2,5,2937255,0.998056049386743,2938871,0.999929229530748
assabet.cnf,2,6,2940511,0.999162412469555,2938781,0.99989860769309
assabet.cnf,2,7,2932010,0.996273839813848,2938817,0.999910856428153
assabet.cnf,2,8,2941054,0.999346919580724,2938760,0.999891462597637
assabet.cnf,2,9,2931105,0.9959663279619,2938847,0.999921063707372
assabet.cnf,2,10,2941235,0.999408421951113,2938913,0.999943519721654
at91sam7sek.cnf,2,1,3069258,0.998441794012325,3071490,0.999876296848499
at91sam7sek.cnf,2,2,3057315,0.994556688769987,3071695,0.999943031443388
at91sam7sek.cnf,2,3,3072481,0.999490248688374,3071740,0.999957680500802
at91sam7sek.cnf,2,4,3076841,1.00090857397152,3071626,0.999920569555352
at91sam7sek.cnf,2,5,3073428,0.999798311542305,3071750,0.999960935846895
at91sam7sek.cnf,2,6,3074187,1.000045217251,3071663,0.999932614335893
at91sam7sek.cnf,2,7,3082148,1.00263496210859,3071429,0.999856439237338
at91sam7sek.cnf,2,8,3068120,0.998071598101266,3071682,0.999938799493468
at91sam7sek.cnf,2,9,3084423,1.00337502862675,3071515,0.99988443521373
at91sam7sek.cnf,2,10,3077030,1.00097005642072,3071677,0.999937171820422
