Benchmark, twise, seed, approx combinations, approx coverage
XSEngine.cnf,4,1,1339343992296,0.9990879416907363573837433045
XSEngine.cnf,4,2,1338455615995,0.9984252545430593887805747757
XSEngine.cnf,4,3,1337796073856,0.9979332669716049395993942731
XSEngine.cnf,4,4,1338801497515,0.9986832659709475066215933730
XSEngine.cnf,4,5,1339438682294,0.9991585759980873341650116859
XSEngine.cnf,4,6,1338578581478,0.9985169810390276673988766989
XSEngine.cnf,4,7,1338664723074,0.9985812386385216252728371702
XSEngine.cnf,4,8,1338522688077,0.9984752871774951601009345981
XSEngine.cnf,4,9,1338429313217,0.9984056339015483760719161822
XSEngine.cnf,4,10,1337695465733,0.9978582180199512826188545395
aaed2000.cnf,4,1,1423246400676,0.9947478440448669734189031719
aaed2000.cnf,4,2,1422489702519,0.9942189659392129189525267868
aaed2000.cnf,4,3,1422534381042,0.9942501930439561661367792126
aaed2000.cnf,4,4,1423697441001,0.9950630891005775941916746673
aaed2000.cnf,4,5,1424126496657,0.9953629684388134314016374370
aaed2000.cnf,4,6,1423587517652,0.9949862605104079613318810096
aaed2000.cnf,4,7,1423274767992,0.9947676707779041598035515361
aaed2000.cnf,4,8,1422651396221,0.9943319783180840243541724686
aaed2000.cnf,4,9,1424608741030,0.9957000229011445287020971359
aaed2000.cnf,4,10,1423269094529,0.9947637054314365082789093647
adder.cnf,4,1,1393439238517,0.9944378691079573156276425183
adder.cnf,4,2,1395078463891,0.9956077140088681973716765071
adder.cnf,4,3,1393946715373,0.9948000335923156975786347956
adder.cnf,4,4,1395447289601,0.9958709291121797543375884893
adder.cnf,4,5,1393956277521,0.9948068576875603061982955056
adder.cnf,4,6,1394820968906,0.9954239508729442326045127664
adder.cnf,4,7,1394120200058,0.9949238421773659315145792176
adder.cnf,4,8,1393516418712,0.9944929493055946525486036279
adder.cnf,4,9,1394131128227,0.9949316411432578189162915694
adder.cnf,4,10,1394721932373,0.9953532727435231208801269531
adderII.cnf,4,1,1412550666855,0.9973770461184303809332974125
adderII.cnf,4,2,1412379828624,0.9972564202646489754330488296
adderII.cnf,4,3,1413313559845,0.9979157113675607073207620963
adderII.cnf,4,4,1411861089056,0.9968901474291488381386526251
adderII.cnf,4,5,1412430319275,0.9972920708204361866422455088
adderII.cnf,4,6,1413749992735,0.9982238689132481022618592373
adderII.cnf,4,7,1412206915435,0.9971343293197176237735357856
adderII.cnf,4,8,1412666864518,0.9974590912334186005899633215
adderII.cnf,4,9,1412419252831,0.9972842570000283640383589530
adderII.cnf,4,10,1412991941313,0.9976886222096635953687735811
aeb.cnf,4,1,1116634277586,0.9975508012520752364782978305
aeb.cnf,4,2,1117333383539,0.9981753510420771239758681336
aeb.cnf,4,3,1116204536366,0.9971668897897934170363904189
aeb.cnf,4,4,1116666465825,0.9975795567759292588817129890
aeb.cnf,4,5,1117085477632,0.9979538830635930708558153477
aeb.cnf,4,6,1117028442332,0.9979029302938664845711321568
aeb.cnf,4,7,1116667595236,0.9975805657408792052051718001
aeb.cnf,4,8,1116285289315,0.9972390308395492658912420845
aeb.cnf,4,9,1117568865916,0.9983857203980715726491072767
aeb.cnf,4,10,1116870324669,0.9977616750909913358070867525
aim711.cnf,4,1,1347298091824,0.9990200060923957520989096089
aim711.cnf,4,2,1346592164240,0.9984965615899889332473657693
aim711.cnf,4,3,1346116662074,0.9981439772735284582065169219
aim711.cnf,4,4,1347138259164,0.9989014903563934906273131158
aim711.cnf,4,5,1346891850479,0.9987187785961054218043187621
aim711.cnf,4,6,1345803656447,0.9979118839563256141486441254
aim711.cnf,4,7,1347345375653,0.9990550669979387123113984515
aim711.cnf,4,8,1346797948790,0.9986491506002772196083311822
aim711.cnf,4,9,1347112286356,0.9988822315487369989893239015
aim711.cnf,4,10,1347419964228,0.9991103743416536006198567190
aki3068net.cnf,4,1,1115652772427,0.9966739687228874622774924592
aki3068net.cnf,4,2,1117466372089,0.9982941570265187348107353961
aki3068net.cnf,4,3,1117181820738,0.9980399516578629720125266974
