Benchmark, twise, seed, approx combinations, approx coverage, combinations, coverage
XSEngine.cnf,2,1,2976660,0.9985896706458261765716248712,2974609,0.9999273906868471254611615809
XSEngine.cnf,2,2,2968597,0.9958847501932325661284781862,2974646,0.9999398283932668308219811249
XSEngine.cnf,2,3,2977198,0.9987701552301614565441429062,2974565,0.9999125999008345028699167178
XSEngine.cnf,2,4,2979348,0.9994914226210924081071796633,2974611,0.9999280629953022446698545293
XSEngine.cnf,2,5,2972718,0.9972672352713844039848849193,2974635,0.9999361306967636751741699092
XSEngine.cnf,2,6,2972898,0.9973276204482995534180693920,2974621,0.9999314245375778407133192709
XSEngine.cnf,2,7,2972002,0.9970270364565441429062177946,2974640,0.9999378114679014731959022800
XSEngine.cnf,2,8,2971643,0.9969066015759189282033665407,2974316,0.9998288974981721613876446514
XSEngine.cnf,2,9,2985440,1.001535125386465132256956372,2974542,0.9999048683536006319699478121
XSEngine.cnf,2,10,2977019,0.9987101055264513912744761250,2974652,0.9999418453186321884480599699
aaed2000.cnf,2,1,3083368,1.002364035452729693741677763,3077241,-
aaed2000.cnf,2,2,3074250,0.9993998886900798934753661784,3077194,-
aaed2000.cnf,2,3,3082624,1.002122170439414114513981358,3077130,-
aaed2000.cnf,2,4,3073320,0.9990975574234354194407456724,3077256,-
aaed2000.cnf,2,5,3083368,1.002364035452729693741677763,3077079,-
aaed2000.cnf,2,6,3079274,1.001033127704727030625832224,3077101,-
aaed2000.cnf,2,7,3078158,1.000670330184753661784287617,3077245,-
aaed2000.cnf,2,8,3068854,0.9976457171687749667110519308,3077136,-
aaed2000.cnf,2,9,3083182,1.002303569199400798934753662,3077122,-
aaed2000.cnf,2,10,3079832,1.001214526464713715046604527,3077204,-
adder.cnf,2,1,3035843,0.9988849156629043126684636119,3039795,0.9999167776298268974700399467
adder.cnf,2,2,3039495,1.000086535019373315363881402,3039770,0.9999085540754619663900043684
adder.cnf,2,3,3040773,1.000507035988039083557951482,3039831,0.9999286195481123982252911796
