Benchmark, twise, seed, approx combinations, approx coverage
XSEngine.cnf,5,1,596868222926846,0.9735009843686876511228402563
XSEngine.cnf,5,2,596788605456626,0.9733711270858655863029623855
XSEngine.cnf,5,3,597433969473535,0.9744237254343858821498348263
XSEngine.cnf,5,4,596702876271886,0.9732313015053978121349480729
XSEngine.cnf,5,5,597245167049340,0.9741157858612189018032898739
XSEngine.cnf,5,6,597013582623513,0.9737380682045450041392503686
XSEngine.cnf,5,7,596488966263722,0.9728824110878567014877450383
XSEngine.cnf,5,8,596360124714403,0.9726722685969822860108485967
XSEngine.cnf,5,9,597030761496756,0.9737660872033290206764717589
XSEngine.cnf,5,10,597295217035807,0.9741974181365213779462436688
aaed2000.cnf,5,1,640994717520861,0.9628097431043069429955545976
aaed2000.cnf,5,2,641282294080881,0.9632416991037987258160697538
aaed2000.cnf,5,3,640910841024189,0.9626837559377892573674007155
aaed2000.cnf,5,4,641713477370052,0.9638893604035411682979662885
aaed2000.cnf,5,5,640709501122003,0.9623813321982456626321329842
aaed2000.cnf,5,6,641107097502334,0.9629785440914828857463883724
aaed2000.cnf,5,7,640615276226390,0.9622398011605328125425427537
aaed2000.cnf,5,8,641281386326588,0.9632403356063255711830075766
aaed2000.cnf,5,9,641348015491694,0.9633404163208548208386395019
aaed2000.cnf,5,10,641522848968524,0.9636030259341816994662278945
adder.cnf,5,1,627209635845455,0.9672638248450513201717945821
adder.cnf,5,2,627692376338466,0.9680082927055426398722510966
adder.cnf,5,3,627061886422944,0.9670359701320987736435955285
adder.cnf,5,4,626951031053182,0.9668650123169879336660193305
adder.cnf,5,5,626702126105764,0.9664811585977480179484540398
adder.cnf,5,6,627371415400702,0.9675133164064795986503274221
adder.cnf,5,7,626537921589304,0.9662279273341150284002978400
adder.cnf,5,8,626772103557926,0.9665890757185363308646988192
adder.cnf,5,9,626551951722039,0.9662495641825892181807261192
adder.cnf,5,10,626865810987678,0.9667335884966223043495818385
adderII.cnf,5,1,637106271582859,0.9701879924167678037493822214
adderII.cnf,5,2,636449425983697,0.9691877452969340598362729159
adderII.cnf,5,3,637283987643709,0.9704586191488951044067484707
adderII.cnf,5,4,637699948799995,0.9710920464704278929610477426
adderII.cnf,5,5,636666380343131,0.9695181242679374294636974578
adderII.cnf,5,6,637443228272490,0.9707011114187708836752108921
adderII.cnf,5,7,636894419961806,0.9698653839162911028028557419
adderII.cnf,5,8,637256362473854,0.9704165514291484326407993224
adderII.cnf,5,9,637166448704453,0.9702796303795265953273653934
adderII.cnf,5,10,638071392962821,0.9716576831352997688376202450
aeb.cnf,5,1,475253683390439,0.9726935742147352497988025515
aeb.cnf,5,2,474436456041273,0.9710209689956963482756906421
aeb.cnf,5,3,475278261656579,0.9727438781310966449269681708
aeb.cnf,5,4,475030703898177,0.9722372059068504528374360081
aeb.cnf,5,5,475689128338891,0.9735847919329482002338360466
aeb.cnf,5,6,475442526401950,0.9730800759721160623992881024
aeb.cnf,5,7,474897298531404,0.9719641674274847870260351318
aeb.cnf,5,8,475107579252827,0.9723945453785828631711827719
aeb.cnf,5,9,475539747099128,0.9732790559079496742720007058
aeb.cnf,5,10,475406205186432,0.9730057379623820007098877983
aim711.cnf,5,1,600790447271295,0.9727026767583989562499069563
aim711.cnf,5,2,600246864277043,0.9718225951326827869494000063
aim711.cnf,5,3,600780209987365,0.9726861022047810120741009023
aim711.cnf,5,4,600565394849161,0.9723383082927967533411173806
aim711.cnf,5,5,601092195410740,0.9731912185191378369595827290
aim711.cnf,5,6,600104213599330,0.9715916382380067014384519062
