Benchmark, twise, seed, approx combinations, approx coverage, combinations, coverage
XSEngine.cnf,2,1,2981319,1.00015264030831,2974825,1
XSEngine.cnf,2,2,2968239,0.995764650785812,2974825,1
XSEngine.cnf,2,3,2970927,0.996666402761079,2974825,1
XSEngine.cnf,2,4,2980423,0.999852056316558,2974825,1
XSEngine.cnf,2,5,2980423,0.999852056316558,2974825,1
XSEngine.cnf,2,6,2974689,0.997928452958605,2974825,1
XSEngine.cnf,2,7,2971464,0.996846551872209,2974825,1
XSEngine.cnf,2,8,2981677,1.00027273971573,2974825,1
XSEngine.cnf,2,9,2975227,0.998108937542941,2974825,1
XSEngine.cnf,2,10,2973256,0.99744771985572,2974825,1
aaed2000.cnf,2,1,3083740,1.00248496795939,3077396,-
aaed2000.cnf,2,2,3074436,0.999460354943409,3077396,-
aaed2000.cnf,2,3,3073320,0.999097557423435,3077396,-
aaed2000.cnf,2,4,3077972,1.00060986393142,3077396,-
aaed2000.cnf,2,5,3077786,1.0005493976781,3077396,-
aaed2000.cnf,2,6,3080019,1.00127531780543,3077396,-
aaed2000.cnf,2,7,3059551,0.99462142924018,3077396,-
aaed2000.cnf,2,8,3074064,0.999339422436751,3077396,-
aaed2000.cnf,2,9,3099928,1.0077474825233,3077396,-
aaed2000.cnf,2,10,3082437,1.0020613790987,3077396,-
adder.cnf,2,1,3041138,1.00062713211759,3040048,1
adder.cnf,2,2,3042416,1.00104763308625,3040048,1
adder.cnf,2,3,3028538,0.996481347919474,3040048,1
adder.cnf,2,4,3033286,0.998043584695081,3040048,1
adder.cnf,2,5,3043695,1.00146846308541,3040048,1
adder.cnf,2,6,3038399,0.999725917600236,3040048,1
adder.cnf,2,7,3046616,1.00242956115229,3040048,1
adder.cnf,2,8,3033651,0.998163680824629,3040048,1
adder.cnf,2,9,3034747,0.998524298243767,3040048,1
adder.cnf,2,10,3042416,1.00104763308625,3040048,1
adderII.cnf,2,1,3060854,0.998368481755177,3059606,1
adderII.cnf,2,2,3060670,0.998308465890113,3059606,1
adderII.cnf,2,3,3058465,0.997589254028891,3059606,1
adderII.cnf,2,4,3066550,1.00022636418671,3059606,1
adderII.cnf,2,5,3064345,0.999507152325484,3059606,1
adderII.cnf,2,6,3054238,0.99621051999833,3059606,1
