Benchmark, twise, seed, approx combinations, approx coverage
XSEngine.cnf,3,1,2327282206,1.000211476742442312837990086
XSEngine.cnf,3,2,2327566786,1.000333782572529239663136548
XSEngine.cnf,3,3,2326353134,0.9998121833199582265378548896
XSEngine.cnf,3,4,2328711386,1.000825704890040998901532222
XSEngine.cnf,3,5,2327773944,1.000422814237260238283010365
XSEngine.cnf,3,6,2327734187,1.000405727608239344510477693
XSEngine.cnf,3,7,2328667443,1.000806819216095149490198288
XSEngine.cnf,3,8,2327999934,1.000519939455270444879450203
XSEngine.cnf,3,9,2328887156,1.000901246726271159587652096
XSEngine.cnf,3,10,2328150595,1.000584690030387201090018026
aaed2000.cnf,3,1,2444347110,0.9987622361563165267512853470
aaed2000.cnf,3,2,2444723569,0.9989160576128203744242716367
aaed2000.cnf,3,3,2444338252,0.9987586167702433791238217652
aaed2000.cnf,3,4,2444132307,0.9986744674741455705735861183
aaed2000.cnf,3,5,2444548626,0.9988445757593777614877892031
aaed2000.cnf,3,6,2445155390,0.9990925000279809842277206512
aaed2000.cnf,3,7,2444734641,0.9989205816411113984174164524
aaed2000.cnf,3,8,2443837783,0.9985541247259171068310839760
aaed2000.cnf,3,9,2444132307,0.9986744674741455705735861183
aaed2000.cnf,3,10,2444588486,0.9988608625881061047290059983
adder.cnf,3,1,2400928154,0.9976921638372417109204793028
adder.cnf,3,2,2401214491,0.9978111495639244195942265795
adder.cnf,3,3,2402323239,0.9982718835469164879493464052
adder.cnf,3,4,2400607371,0.9975588642693812551062091503
adder.cnf,3,5,2402747362,0.9984481254693989140795206972
adder.cnf,3,6,2401270467,0.9978344100752687142565359477
adder.cnf,3,7,2402852854,0.9984919620754931747004357298
adder.cnf,3,8,2402678469,0.9984194973714990553513071895
adder.cnf,3,9,2401840987,0.9980714864460731124046840959
adder.cnf,3,10,2402872231,0.9985000140786430674700435730
adderII.cnf,3,1,2425236786,0.9973635334246834067755498060
adderII.cnf,3,2,2425880083,0.9976280853120146665453859422
adderII.cnf,3,3,2425627980,0.9975244095223687136157826649
adderII.cnf,3,4,2426060467,0.9977022671092939356268865890
adderII.cnf,3,5,2426529899,0.9978953180975212830826865028
adderII.cnf,3,6,2426306049,0.9978032611782769799078266494
adderII.cnf,3,7,2425156374,0.9973304644901724712968952135
adderII.cnf,3,8,2424884712,0.9972187451835128961836998706
adderII.cnf,3,9,2424876018,0.9972151698301248686125485123
adderII.cnf,3,10,2425545395,0.9974904469551326592146399310
aeb.cnf,3,1,2034096129,1.001996505851587973350335744
aeb.cnf,3,2,2034559094,1.002224562581905648728047521
aeb.cnf,3,3,2035216206,1.002548256196266363474948347
aeb.cnf,3,4,2034921252,1.002402961746720243091425620
aeb.cnf,3,5,2034241739,1.002068233391470160366089876
aeb.cnf,3,6,2034835380,1.002360661167743777440599174
aeb.cnf,3,7,2035817314,1.002844362219503103208935950
aeb.cnf,3,8,2035576498,1.002725736168790454706869835
aeb.cnf,3,9,2034846581,1.002366178784488646452091942
aeb.cnf,3,10,2035051928,1.002467332792676184788223140
aim711.cnf,3,1,2340263151,1.001952350500858191287878788
aim711.cnf,3,2,2340533553,1.002068119498615714436026936
aim711.cnf,3,3,2340725791,1.002150423625770508908529742
aim711.cnf,3,4,2340119500,1.001890848247558045735129068
aim711.cnf,3,5,2339192108,1.001493797773196373456790123
aim711.cnf,3,6,2340411027,1.002015661631369028829966330
aim711.cnf,3,7,2340837754,1.002198359085922155583613917
aim711.cnf,3,8,2339253371,1.001520026706819716259820426
aim711.cnf,3,9,2339202670,1.001498319752154794472502806
aim711.cnf,3,10,2340480740,1.002045508319413755611672278
aki3068net.cnf,3,1,2035760571,1.001264863803621540984399175
aki3068net.cnf,3,2,2036448435,1.001603181611759998307761733
aki3068net.cnf,3,3,2036727995,1.001740679905671566770887055
aki3068net.cnf,3,4,2036569823,1.001662884870099308196879835
aki3068net.cnf,3,5,2035999668,1.001382460847473931472408458
aki3068net.cnf,3,6,2036549592,1.001652934490988831227436823
aki3068net.cnf,3,7,2036544074,1.001650220527668599310211449
aki3068net.cnf,3,8,2037042499,1.001895364994483857255673027
aki3068net.cnf,3,9,2035355946,1.001065853762220881414388860
aki3068net.cnf,3,10,2036387741,1.001573329982590343363202682
am31_sim.cnf,3,1,1809014962,1.001283289178194033843586767
am31_sim.cnf,3,2,1808748722,1.001135926293690261353743471
am31_sim.cnf,3,3,1809147256,1.001356513432410312681369704
am31_sim.cnf,3,4,1807736678,1.000575763571767425094312246
am31_sim.cnf,3,5,1808452716,1.000972088035012287797446315
am31_sim.cnf,3,6,1808723917,1.001122196815211760465031921
am31_sim.cnf,3,7,1808971967,1.001259491599996769352147417
am31_sim.cnf,3,8,1808310500,1.000893371989404608604178758
am31_sim.cnf,3,9,1808874401,1.001205489169146802905542658
am31_sim.cnf,3,10,1807331530,1.000351515607784047627684272
asb.cnf,3,1,2136106066,0.9986026922861735026041666667
asb.cnf,3,2,2135655336,0.9983919816858628216911764706
asb.cnf,3,3,2136365577,0.9987240104114308076746323529
asb.cnf,3,4,2136174359,0.9986346184038648418351715686
asb.cnf,3,5,2135302167,0.9982268796247594496783088235
asb.cnf,3,6,2135735336,0.9984293806786630667892156863
asb.cnf,3,7,2137372402,0.9991946884230071423100490196
asb.cnf,3,8,2136619235,0.9988425923328773648131127451
asb.cnf,3,9,2136022164,0.9985634691574994255514705882
asb.cnf,3,10,2135704117,0.9984147861892101811427696078
asb2305.cnf,3,1,2172916050,1.002784528716147566083958384
asb2305.cnf,3,2,2172062333,1.002390544696607573569441084
asb2305.cnf,3,3,2171605414,1.002179679990593526947737721
asb2305.cnf,3,4,2171609422,1.002181529652659898227679652
asb2305.cnf,3,5,2172198607,1.002453434129849260146987660
