Benchmark, twise, seed, approx combinations, approx coverage, combinations, coverage
XSEngine.cnf,2,1,2290056,0.7682524261422191,2311450,0.7770036892926475
XSEngine.cnf,2,2,2343271,0.7861046327507729,2339618,0.7864724815745464
XSEngine.cnf,2,3,2303852,0.7728806144795602,2318875,0.7794996344322775
XSEngine.cnf,2,4,2324995,0.7799735244546547,2320448,0.7800284050322288
XSEngine.cnf,2,5,2347750,0.7876072172363449,2344735,0.7881925827569689
XSEngine.cnf,2,6,2377135,0.7974650973677431,2365321,0.7951126536855109
XSEngine.cnf,2,7,2368177,0.7944599283965991,2347374,0.7890796937634987
XSEngine.cnf,2,8,2315857,0.7769079703065956,2312624,0.7773983343558024
XSEngine.cnf,2,9,2328041,0.7809953758373411,2320921,0.7801874059818645
XSEngine.cnf,2,10,2328041,0.7809953758373411,2333527,0.7844249661744809
aaed2000.cnf,2,1,2365881,0.7691180639355859,2370538,-
aaed2000.cnf,2,2,2355647,0.7657911196529628,2356460,-
aaed2000.cnf,2,3,2364021,0.768513401402297,2364290,-
aaed2000.cnf,2,4,2365323,0.7689366651755992,2376226,-
aaed2000.cnf,2,5,2340390,0.7608312614430759,2352364,-
aaed2000.cnf,2,6,2365509,0.7689971314289281,2368176,-
aaed2000.cnf,2,7,2393606,0.7781311116428096,2394636,-
aaed2000.cnf,2,8,2346344,0.7627668317243675,2350295,-
aaed2000.cnf,2,9,2376487,0.7725659407248668,2379716,-
aaed2000.cnf,2,10,2374255,0.7718403456849201,2365533,-
adder.cnf,2,1,2422100,0.7969447544642857,2427508,0.7985097603722047
adder.cnf,2,2,2405118,0.7913571586506065,2405134,0.7911500081577659
adder.cnf,2,3,2374988,0.7814434699292453,2379147,0.7826017878665074
adder.cnf,2,4,2366770,0.7787394973466981,2372217,0.7803222185965485
adder.cnf,2,5,2387040,0.7854089454177897,2386329,0.7849642505644647
adder.cnf,2,6,2364031,0.7778382828293463,2359118,0.7760134050514992
adder.cnf,2,7,2419361,0.796043539946934,2422166,0.7967525512755061
adder.cnf,2,8,2431048,0.7998889193059299,2431297,0.7997561222717536
adder.cnf,2,9,2423013,0.797245159303403,2414591,0.794260814302932
adder.cnf,2,10,2358918,0.7761559499241913,2370428,0.779733741046194
adderII.cnf,2,1,2423582,0.7905074471860387,2437907,0.7968042290412556
adderII.cnf,2,2,2396569,0.7816965310829993,2421830,0.7915496309001878
adderII.cnf,2,3,2418988,0.7890090075985304,2418118,0.790336402791732
adderII.cnf,2,4,2426522,0.7914663963343354,2429158,0.7939447105280876
adderII.cnf,2,5,2425787,0.7912266590472612,2425504,0.7927504391088265
adderII.cnf,2,6,2425787,0.7912266590472612,2430959,0.7945333484115275
adderII.cnf,2,7,2409984,0.7860721442885772,2423345,0.7920447926955301
adderII.cnf,2,8,2415680,0.7879300267201069,2417139,0.7900164269517056
adderII.cnf,2,9,2443244,0.796920664245157,2434829,0.7957982171560652
adderII.cnf,2,10,2403184,0.7838541666666666,2419197,0.7906890625786458
aeb.cnf,2,1,2109545,0.7733117639123499,2115558,0.7770456253402122
aeb.cnf,2,2,2129139,0.7804944837415541,2136972,0.7849109994027693
aeb.cnf,2,3,2153549,0.7894426408830706,2143644,0.7873616286988084
aeb.cnf,2,4,2169989,0.7954691752299174,2151050,0.7900818566014561
aeb.cnf,2,5,2166335,0.7941297009900525,2156752,0.7921762043601515
aeb.cnf,2,6,2111704,0.7741032047672672,2118402,0.7780902281156821
aeb.cnf,2,7,2149398,0.7879209776182432,2154688,0.7914180960167724
aeb.cnf,2,8,2112036,0.7742249085022522,2127764,0.7815288959018808
aeb.cnf,2,9,2173310,0.7966865791572822,2168516,0.7964971280769686
aeb.cnf,2,10,2149896,0.7881035332207207,2131259,0.7828126113379804
aim711.cnf,2,1,2320132,0.7754120144592744,2319170,0.7763374688098571
aim711.cnf,2,2,2310214,0.7720973166923341,2312436,0.774083275924055
aim711.cnf,2,3,2375309,0.7938527362465777,2363995,0.7913425469366878
aim711.cnf,2,4,2319230,0.775110556767625,2322559,0.7774719297082805
aim711.cnf,2,5,2329328,0.7784854123887748,2328362,0.779414472226295
aim711.cnf,2,6,2326262,0.7774607236054073,2315061,0.7749619893670652
aim711.cnf,2,7,2352949,0.7863797939125599,2348065,0.7860100116425347
aim711.cnf,2,8,2315984,0.774025710130048,2313939,0.7745864021354243
aim711.cnf,2,9,2310575,0.772217966611054,2308973,0.7729240436752383
aim711.cnf,2,10,2326803,0.7776415313783368,2335848,0.7819203955917708
aki3068net.cnf,2,1,2152840,0.7885907023630908,2151495,0.7894308122735403
aki3068net.cnf,2,2,2165829,0.793348605706114,2172190,0.79702426271614
aki3068net.cnf,2,3,2165171,0.7931075786524756,2160079,0.7925804705774435
aki3068net.cnf,2,4,2106476,0.7716074526444111,2112164,0.7749994037517772
aki3068net.cnf,2,5,2147415,0.7866035112293699,2160563,0.7927580608173187
aki3068net.cnf,2,6,2157608,0.7903372327456865,2157322,0.7915688666697244
aki3068net.cnf,2,7,2170104,0.7949145489497375,2176378,0.7985609319818373
aki3068net.cnf,2,8,2146099,0.786121457122093,2144566,0.7868884098518553
aki3068net.cnf,2,9,2159252,0.7909394340772693,2150428,0.7890393065174517
aki3068net.cnf,2,10,2164185,0.7927464043745311,2159949,0.7925327707196257
am31_sim.cnf,2,1,1991471,0.7905674383892276,1986763,0.7887717434371683
am31_sim.cnf,2,2,2016743,0.8005998316819106,2004698,0.7958921806602017
am31_sim.cnf,2,3,1997444,0.7929385797764228,1989005,0.7896618477167356
am31_sim.cnf,2,4,1997751,0.7930604516006098,1998951,0.7936105440434873
am31_sim.cnf,2,5,1973704,0.7835143546747968,1977861,0.7852375292102687
am31_sim.cnf,2,6,1988101,0.7892296271595528,1983419,0.7874441302744237
am31_sim.cnf,2,7,1978145,0.785277327870935,1978110,0.7853363855731644
am31_sim.cnf,2,8,1980596,0.7862503175813008,1981829,0.786812878800511
am31_sim.cnf,2,9,1978145,0.785277327870935,1985680,0.7883417778105976
am31_sim.cnf,2,10,1983966,0.7875881288109756,1986849,0.7888058865986504
asb.cnf,2,1,2194364,0.7803836830844866,2178064,0.7744552482557491
asb.cnf,2,2,2143741,0.7623805791378369,2133525,0.758618494927076
asb.cnf,2,3,2181366,0.7757611924162418,2172234,0.7723822723940063
asb.cnf,2,4,2168710,0.7712603275218499,2163770,0.7693727239045052
