Benchmark, twise, seed, approx combinations, approx coverage
XSEngine.cnf,5,1,331472737859641,0.5406369851880928
XSEngine.cnf,5,2,334076547971661,0.5448838383623675
XSEngine.cnf,5,3,332071792122315,0.5416140516359322
XSEngine.cnf,5,4,332042135970698,0.5415656820098024
XSEngine.cnf,5,5,335333968800245,0.5469347105103094
XSEngine.cnf,5,6,338459727180735,0.5520328691044865
XSEngine.cnf,5,7,331247351107347,0.5402693760294983
XSEngine.cnf,5,8,329313770021883,0.5371156764057765
XSEngine.cnf,5,9,330446635013674,0.5389633961239706
XSEngine.cnf,5,10,342552276103956,0.5587078775105228
aaed2000.cnf,5,1,348082629560203,0.5228394836733171
aaed2000.cnf,5,2,348441175203537,0.5233780391860438
aaed2000.cnf,5,3,351615933899966,0.528146703453277
aaed2000.cnf,5,4,353858473923726,0.5315151233874198
aaed2000.cnf,5,5,348773644800083,0.5238774270251175
aaed2000.cnf,5,6,351492072677723,0.5279606570034254
aaed2000.cnf,5,7,355331770567244,0.5337280969488062
aaed2000.cnf,5,8,347313386179959,0.5216840373005577
aaed2000.cnf,5,9,347359019261838,0.5217525807294503
aaed2000.cnf,5,10,350207827373418,0.5260316490760231
adder.cnf,5,1,355815260504814,0.5487275866707632
adder.cnf,5,2,363714111749218,0.5609089573479619
adder.cnf,5,3,356518071678528,0.5498114409121192
adder.cnf,5,4,353663290008307,0.5454088825335105
adder.cnf,5,5,355516721245183,0.5482671884089478
adder.cnf,5,6,356493193406893,0.5497730743903027
adder.cnf,5,7,362980202735958,0.5597771449543317
adder.cnf,5,8,364193018478209,0.5616475128929568
adder.cnf,5,9,359634075200927,0.5546168477698177
adder.cnf,5,10,353650850872489,0.5453896992726014
adderII.cnf,5,1,368978962048194,0.5618826472139085
adderII.cnf,5,2,363267369895941,0.5531850117159395
adderII.cnf,5,3,366003121446743,0.5573510251790145
adderII.cnf,5,4,367096158440482,0.5590155063086041
adderII.cnf,5,5,362995690180734,0.5527712967530932
adderII.cnf,5,6,368618828472222,0.561334234356182
adderII.cnf,5,7,366281119294862,0.5577743614200668
adderII.cnf,5,8,367241475497453,0.5592367957073355
adderII.cnf,5,9,371569396542025,0.5658273712782519
adderII.cnf,5,10,367336247491130,0.5593811148804216
aeb.cnf,5,1,265080876510763,0.5425364899642482
aeb.cnf,5,2,265997738138572,0.5444130149549682
aeb.cnf,5,3,267767722350546,0.5480356113274286
aeb.cnf,5,4,266767509665663,0.5459884931557332
aeb.cnf,5,5,270106454951964,0.5528222552877173
aeb.cnf,5,6,269091533257009,0.5507450324370259
aeb.cnf,5,7,269483773525590,0.5515478238769054
aeb.cnf,5,8,264909271393258,0.5421852687092994
aeb.cnf,5,9,272072559298229,0.5568462473801185
aeb.cnf,5,10,265683945923707,0.5437707818030643
aim711.cnf,5,1,326477547551624,0.5285796168153472
aim711.cnf,5,2,330665706651396,0.5353604063327921
aim711.cnf,5,3,338861241004908,0.5486292894172909
aim711.cnf,5,4,329279697165141,0.5331164040464442
aim711.cnf,5,5,328906077216672,0.5325114990822978
aim711.cnf,5,6,330135407369698,0.5345018315449713
aim711.cnf,5,7,337222134134206,0.5459755128003918
aim711.cnf,5,8,333998155546611,0.5407557683517099
aim711.cnf,5,9,329189305242124,0.532970056071247
aim711.cnf,5,10,333046027290835,0.5392142363463044
aki3068net.cnf,5,1,264088507359823,0.5420301229740592
aki3068net.cnf,5,2,268775591721752,0.5516501588419005
aki3068net.cnf,5,3,266948585368429,0.5479003081260692
aki3068net.cnf,5,4,260903203089370,0.5354924251291809
aki3068net.cnf,5,5,266771624020070,0.5475371026902416
aki3068net.cnf,5,6,268369058894442,0.5508157679758126
aki3068net.cnf,5,7,265977689322030,0.545907586410589
aki3068net.cnf,5,8,263744150141396,0.5413233448286677
aki3068net.cnf,5,9,265590287451299,0.5451124609970223
aki3068net.cnf,5,10,265944210148016,0.5458388718686753
am31_sim.cnf,5,1,223570344049131,0.5574668770013307
am31_sim.cnf,5,2,223622413533395,0.5575967109151405
am31_sim.cnf,5,3,223277953868265,0.5567378096391701
am31_sim.cnf,5,4,222865403339097,0.5557091255528318
am31_sim.cnf,5,5,219220539440629,0.5466207515861695
am31_sim.cnf,5,6,222777285750343,0.55548940662177
am31_sim.cnf,5,7,219977549634926,0.5485083369484758
am31_sim.cnf,5,8,219693170143947,0.5477992440345942
am31_sim.cnf,5,9,223093708000869,0.5562783973287652
am31_sim.cnf,5,10,223293975248038,0.5567777585357256
asb.cnf,5,1,280820553650943,0.5300229430754303
asb.cnf,5,2,268543033862362,0.5068502547254916
asb.cnf,5,3,278809489575513,0.5262272447687544
asb.cnf,5,4,278434724354108,0.5255199099137057
asb.cnf,5,5,277057066286687,0.5229197071366907
asb.cnf,5,6,280276880160735,0.528996809412471
asb.cnf,5,7,280741377899942,0.529873506134223
asb.cnf,5,8,276513392796479,0.5218935734737312
asb.cnf,5,9,281073916054147,0.5305011412872954
asb.cnf,5,10,279421782049922,0.5273828904474271
asb2305.cnf,5,1,286677573448181,0.5273966809977044
asb2305.cnf,5,2,286992148896955,0.5279754010057303
asb2305.cnf,5,3,289630167572635,0.5328285266870633
